"space_mo","urban_rural","Freq"
"93","rural",4.49499
"94","rural",2.800755
"95","rural",5.043078
"96","rural",9.093715
"97","rural",2.737213
"98","rural",3.213568
"99","rural",3.467318
"100","rural",4.128687
"101","rural",7.068063
"102","rural",3.815289
"103","rural",1.765385
"104","rural",2.597712
"105","rural",5.480253
"106","rural",1.515204
"107","rural",1.787043
"108","rural",3.000696
"109","rural",3.753685
"110","rural",3.267769
"111","rural",1.420666
"112","rural",1.978983
"113","rural",1.304652
"114","rural",2.177829
"115","rural",0
"116","rural",2.996921
"117","rural",6.457881
"118","rural",1.864466
"119","rural",0.742834
"120","rural",2.769361
"121","rural",1.726883
"122","rural",3.785189
"123","rural",0.558983
"124","rural",2.829583
"125","rural",0.119779
"126","rural",1.989834
"127","rural",1.439729
"128","rural",2.365922
"129","rural",0
"130","rural",1.619658
"131","rural",0.182202
"132","rural",0.389787
"133","rural",0.912256
"134","rural",0
"135","rural",0
"136","rural",1.409594
"137","rural",1.578124
"139","rural",0.819429
"140","rural",0.83572
"141","rural",0.618006
"142","rural",2.315977
"143","rural",0
"144","rural",1.932118
"145","rural",1.002504
"146","rural",1.126799
"147","rural",1.097409
"148","rural",1.09646
"150","rural",0.533408
"151","rural",0.600084
"152","rural",0
"153","rural",0.709485
"155","rural",2.805517
"156","rural",0
"158","rural",0
"159","rural",0
"164","rural",0
"166","rural",0.659248
"171","rural",0.484684
"174","rural",0.234633
"175","rural",0.789877
"178","rural",0
"182","rural",0.82556
"184","rural",0.533408
"185","rural",0.465234
"191","rural",0.558983
"196","rural",0
"198","rural",0
"203","rural",0
"206","rural",1.806939
"207","rural",0
"211","rural",0.852581
"212","rural",1.200731
"220","rural",0.678883
"241","rural",0.865779
"270","rural",0.40242
