"fertility_intent","age","Freq"
"No","15",0.98109421885898
"Yes","15",0.0101058005558281
"Can't get pregnant","15",0.00879998058519157
"No","16",0.976032420313365
"Yes","16",0.0165889975016018
"Can't get pregnant","16",0.00737858218503296
"No","17",0.986359136651596
"Yes","17",0.0107689283298634
"Can't get pregnant","17",0.0028719350185405
"No","18",0.974269205630154
"Yes","18",0.0219885505320564
"Can't get pregnant","18",0.00374224383778926
"No","19",0.962964717386773
"Yes","19",0.0302693668339355
"Can't get pregnant","19",0.0067659157792919
"No","20",0.946449620571905
"Yes","20",0.0493989278403087
"Can't get pregnant","20",0.00415145158778609
"No","21",0.932947195176428
"Yes","21",0.062089854117518
"Can't get pregnant","21",0.00496295070605457
"No","22",0.937020710144895
"Yes","22",0.0618364860047248
"Can't get pregnant","22",0.00114280385038033
"No","23",0.923271986595963
"Yes","23",0.0732557577618513
"Can't get pregnant","23",0.0034722556421856
"No","24",0.906186433720212
"Yes","24",0.0845715943928106
"Can't get pregnant","24",0.00924197188697744
"No","25",0.900354402379876
"Yes","25",0.0979975907718524
"Can't get pregnant","25",0.00164800684827159
"No","26",0.914230038698008
"Yes","26",0.0838289189958334
"Can't get pregnant","26",0.00194104230615812
"No","27",0.895630540144589
"Yes","27",0.0985657673143934
"Can't get pregnant","27",0.00580369254101778
"No","28",0.876324132826695
"Yes","28",0.120423631132145
"Can't get pregnant","28",0.00325223604116013
"No","29",0.871163558156919
"Yes","29",0.115448335427517
"Can't get pregnant","29",0.0133881064155645
"No","30",0.901971495641955
"Yes","30",0.0951495955893254
"Can't get pregnant","30",0.00287890876871999
"No","31",0.918813434274449
"Yes","31",0.07337680256366
"Can't get pregnant","31",0.00780976316189149
"No","32",0.899633501556635
"Yes","32",0.0914370413142365
"Can't get pregnant","32",0.00892945712912888
"No","33",0.888395552212453
"Yes","33",0.101724887025421
"Can't get pregnant","33",0.00987956076212664
"No","34",0.909246092570091
"Yes","34",0.0716644046351549
"Can't get pregnant","34",0.0190895027947542
"No","35",0.89857343338487
"Yes","35",0.0749401502643278
"Can't get pregnant","35",0.0264864163508027
"No","36",0.903919607413066
"Yes","36",0.089187844895586
"Can't get pregnant","36",0.00689254769134787
"No","37",0.913680020998509
"Yes","37",0.0699361324985615
"Can't get pregnant","37",0.0163838465029299
"No","38",0.90505328954806
"Yes","38",0.0761440125811529
"Can't get pregnant","38",0.0188026978707875
"No","39",0.895371700774681
"Yes","39",0.0724632721572835
"Can't get pregnant","39",0.0321650270680356
"No","40",0.873731412515402
"Yes","40",0.0987222023996807
"Can't get pregnant","40",0.0275463850849176
"No","41",0.886236966004081
"Yes","41",0.084651946083539
"Can't get pregnant","41",0.0291110879123802
"No","42",0.866991434543643
"Yes","42",0.0965565244053254
"Can't get pregnant","42",0.0364520410510316
"No","43",0.880065099266404
"Yes","43",0.0792806159459459
"Can't get pregnant","43",0.04065428478765
"No","44",0.868631469894237
"Yes","44",0.0779091814004478
"Can't get pregnant","44",0.0534593487053156
"No","45",0.897230219510845
"Yes","45",0.0494481798362362
"Can't get pregnant","45",0.053321600652919
"No","46",0.851454450866843
"Yes","46",0.0578051862986773
"Can't get pregnant","46",0.0907403628344794
"No","47",0.899616212688039
"Yes","47",0.0202789024608381
"Can't get pregnant","47",0.0801048848511229
"No","48",0.888066502800236
"Yes","48",0.016703650663534
"Can't get pregnant","48",0.0952298465362297
"No","49",0.876371425834457
"Yes","49",0.00897182680733013
"Can't get pregnant","49",0.114656747358213
