"age","paidwork","paidwork.se","decisionwages","decisionwages.se","refusesex","refusesex.se"
15,0.0422685451080795,0.00698519860821614,0.778206413691762,0.244094945732436,0.385137159184773,0.199524486811776
16,0.072561018789043,0.00871100079939171,0.757338570143819,0.142566553576579,0.720453216875624,0.136863417543301
17,0.106134366769172,0.0119042798054698,0.538776347580261,0.0601488460306756,0.633832355551001,0.114784855885507
18,0.143965287615979,0.0138856929316643,0.896379856671104,0.0500949882145099,0.641248878071965,0.0682155156884112
19,0.204291755222522,0.0159022428281434,0.601137998539771,0.0565397397106183,0.717644594829184,0.0477343468814099
20,0.298594213060745,0.0198798765916925,0.743244163913343,0.0482003648102808,0.701367590283663,0.0439910509883525
21,0.391163517052487,0.0221185789332612,0.68405549675161,0.0331775509683367,0.823504202969181,0.027969076802972
22,0.428824873969106,0.0196383286812325,0.756675243306271,0.0271012779856099,0.784920075388277,0.0290639675685014
23,0.552115032316912,0.0250940289774905,0.774876693275158,0.0222274381656861,0.777805017421941,0.0273435239838852
24,0.553270937589467,0.0208324651548403,0.761656798408307,0.0215646819067355,0.809276999421353,0.0262894000411318
25,0.576965083638872,0.0196585326189423,0.746863957624352,0.0241526322669877,0.797721484242287,0.0258517700857423
26,0.569012101685471,0.0227492042707914,0.777740669434737,0.0173453093401542,0.803700364541004,0.0296705520185298
27,0.615635121676162,0.020178292264037,0.725640914654067,0.0234858120377523,0.82506742766948,0.0231972398565951
28,0.641776138661655,0.0197225714389817,0.723799456176429,0.0257799958890872,0.813355915561756,0.0234254538970497
29,0.621554755065255,0.0238484517944276,0.72806582412833,0.0180420221823099,0.801993841385204,0.0239578622877476
30,0.621424115386627,0.022153088511481,0.766331155088857,0.0228757877872779,0.807543267466846,0.0225645429015502
31,0.634854388243053,0.023586876623139,0.735720499655274,0.0213170502451278,0.806469765418124,0.0246129486481641
32,0.618318625482598,0.0218460449900869,0.763778174738973,0.0199839057795125,0.796251969341011,0.0225717244858341
33,0.606082550272804,0.0245682589216409,0.772540736771492,0.0191884776229534,0.78249792727139,0.033319932322274
34,0.618644715409974,0.0212866614677597,0.760439285440747,0.0178490699172643,0.733894975251429,0.0297941895925937
35,0.640670977795848,0.0195625982684935,0.765722312238015,0.0175762267939964,0.761875381492494,0.0252652856563939
36,0.639447668376881,0.0234382948372598,0.737890713351741,0.0193669509776398,0.812621267240221,0.0230409417865899
37,0.687251700160324,0.0212277591836031,0.78070521796683,0.0198013481918744,0.754293521352944,0.0310239536141332
38,0.665270734188021,0.0227802106142185,0.768593281125704,0.0177864209710414,0.798712949846952,0.0239500116645226
39,0.647416713063828,0.0224211367570408,0.753113170448731,0.0222449399818917,0.768121184257995,0.0292313475219013
40,0.640918617146625,0.0246845468210755,0.75607541451152,0.0212760730811908,0.775222890871648,0.0307829792848354
41,0.67363186413202,0.0284625515707587,0.80544814534611,0.0198730563081522,0.787565153601271,0.0318442809953093
42,0.67498517136553,0.0240267297693143,0.757844992019131,0.0204888921566848,0.793578556629209,0.0312070511047834
43,0.642873479571746,0.02354245613406,0.77525399337546,0.0214482084955967,0.700460526057326,0.0365817943793465
44,0.631104542788814,0.0223258413499751,0.744471280218423,0.0235417703441856,0.756103144734241,0.0326948443720555
45,0.614812735513002,0.0251478846290025,0.758287996560608,0.0212055662664321,0.781219571708744,0.0312930717107865
46,0.619311137789379,0.0252411570788096,0.754806244381991,0.022966586521004,0.724820640005514,0.0354836010508633
47,0.606918082581062,0.029566682518523,0.754471846466547,0.02588956069339,0.765826223566649,0.03372706416116
48,0.61532119356084,0.0271084965743973,0.780187064555212,0.0270343176240986,0.767359803516851,0.0343538113903935
49,0.598797176142054,0.0336230991846569,0.686290858196454,0.0305362189781806,0.72385808314574,0.0514633486289917
