"","source","year","wt_tot","space_cat","wt_n","percent"
"1","DHS",2014,53933.524978,"(0,12]",1852.077752,0.0343400093495739
"2","DHS",2014,53933.524978,"(12,24]",14054.990493,0.260598403288737
"3","DHS",2014,53933.524978,"(24,48]",25727.435895,0.477021220205697
"4","DHS",2014,53933.524978,"(48,300]",12299.020838,0.228040367155992
