"month","rate"
0,0.652492918763943
1,0.913807993818322
2,0.956969205516377
3,0.855032220558782
4,0.708150430864573
5,0.584371748626655
6,0.210524977675264
7,0.217450617653477
8,0.0830783753916591
9,0
10,0.101241564499448
11,0
