age,probs
11,0.0011228256671359917
12,0.0054468925610198695
13,0.013260473760339852
14,0.019175893884474056
15,0.07322842711843705
16,0.09041639344119715
17,0.11448755382681149
18,0.13035431923551874
19,0.10885636170286157
20,0.15899326604475106
21,0.07336587059705116
22,0.05375198647477682
23,0.05024167081018013
24,0.02075902649994115
25,0.039577670641277256
26,0.016288695140652867
27,0.008198735594366555
28,0.008785643826471385
29,0.002280431643422655
30,0.003252623397147626
31,0.00405661336744736
32,0.0014148092489450906
33,0.0016203423678833471
35,0.0010634731478894098
