"age_partner","percent"
"7",0.000971243118851131
"10",0.00379820767866742
"11",0.00130697717097137
"12",0.00738904134353776
"13",0.00516986105456545
"14",0.0117877375862461
"15",0.0275101411517851
"16",0.0213551915084629
"17",0.0395793226302157
"18",0.0649168072912072
"19",0.0542874014980927
"20",0.0687230277594612
"21",0.0782050999888855
"22",0.0636079203045561
"23",0.0777240428944846
"24",0.0866361597449846
"25",0.0774136881337286
"26",0.0504639094360765
"27",0.063293067125874
"28",0.043396191111784
"29",0.0316952138821339
"30",0.0439501170264117
"31",0.0264047469406143
"32",0.0167180408194535
"33",0.0110088707946776
"34",0.00678859551585468
"35",0.00644268743547982
"36",0.00326936800609305
"37",0.000622637097755868
"38",0.00214484622219094
"39",0.000972514109233711
"41",0.000971243118851131
"44",0.00147608049881193
