region,month,perc
Somali,15,0.5156399
Somali,16,0.5196
Somali,17,0.5090785
Somali,18,0.6734621
Somali,19,0.6134804
Somali,20,0.708033
Somali,21,0.8568932
Somali,22,1
Somali,23,0.924201
Tigray,0,0.17126575
Tigray,1,0.08569548
Tigray,2,0.26344346
Tigray,3,0.58561094
Tigray,4,0.79395448
Tigray,5,0.61585176
Tigray,6,0.65568242
Tigray,7,0.8498663
Tigray,8,0.71558029
Tigray,9,0.70319912
Tigray,10,0.84660792
Tigray,11,0.853039
Tigray,12,0.56112777
Tigray,13,0.59793824
Tigray,14,0.59646258
Tigray,15,0.49524523
Tigray,16,0.53182279
Tigray,17,0.64128621
Tigray,18,0.66582803
Tigray,19,0.77040514
Tigray,20,0.69324975
Tigray,21,0.89666255
Tigray,22,0.6314171
Tigray,23,0.68438634
