"age","edu","se"
0,0.546143402253944,NA
1,0.648669312754624,NA
2,0.751195223255305,NA
3,0.853721133755986,NA
4,0.956247044256667,NA
5,1.05877295475735,NA
6,1.16129886525803,NA
7,1.26382477575871,NA
8,1.36635068625939,NA
9,1.46887659676007,NA
10,1.57140250726075,NA
11,1.67392841776143,NA
12,1.77645432826211,NA
13,1.87898023876279,NA
14,1.98150614926348,NA
49,2.63608305822132,NA
50,2.63608305822132,NA
51,2.63608305822132,NA
52,2.63608305822132,NA
53,2.63608305822132,NA
54,2.63608305822132,NA
55,2.63608305822132,NA
56,2.63608305822132,NA
57,2.63608305822132,NA
58,2.63608305822132,NA
59,2.63608305822132,NA
60,2.63608305822132,NA
61,2.63608305822132,NA
62,2.63608305822132,NA
63,2.63608305822132,NA
64,2.63608305822132,NA
65,2.63608305822132,NA
66,2.63608305822132,NA
67,2.63608305822132,NA
68,2.63608305822132,NA
69,2.63608305822132,NA
70,2.63608305822132,NA
71,2.63608305822132,NA
72,2.63608305822132,NA
73,2.63608305822132,NA
74,2.63608305822132,NA
75,2.63608305822132,NA
76,2.63608305822132,NA
77,2.63608305822132,NA
78,2.63608305822132,NA
79,2.63608305822132,NA
80,2.63608305822132,NA
81,2.63608305822132,NA
82,2.63608305822132,NA
83,2.63608305822132,NA
84,2.63608305822132,NA
85,2.63608305822132,NA
86,2.63608305822132,NA
87,2.63608305822132,NA
88,2.63608305822132,NA
89,2.63608305822132,NA
90,2.63608305822132,NA
91,2.63608305822132,NA
92,2.63608305822132,NA
93,2.63608305822132,NA
94,2.63608305822132,NA
95,2.63608305822132,NA
96,2.63608305822132,NA
97,2.63608305822132,NA
98,2.63608305822132,NA
99,2.63608305822132,NA
15,5.80320035470224,0.188460960709856
16,6.42428254408418,0.233157739409679
17,6.37769393785122,0.348309159804651
18,6.58092308548363,0.280053023686627
19,6.21330399670496,0.293511041286722
20,5.02062247020976,0.257764848729835
21,6.40255363964233,0.3266730830622
22,5.35490320762291,0.420179778039677
23,3.9495487896144,0.384907196703899
24,4.82789176121342,0.379033837256099
25,4.14898309054203,0.34194197524314
26,3.52039600135787,0.39367650990031
27,3.84530243939515,0.333248595664769
28,3.90490439277539,0.402509654858149
29,4.57666091152993,0.368807547897726
30,3.19610469807373,0.355018839437848
31,3.65105522835047,0.344536971743358
32,3.33515281980009,0.328368940511362
33,3.27847744581634,0.367750402833159
34,3.57811323233743,0.611256691174534
35,2.83381479975248,0.392561674876749
36,2.58032940300807,0.287806691744566
37,2.99007362446138,0.430338984679624
38,3.2595759559533,0.502478247006606
39,2.76354177200299,0.356299779192843
40,2.6562992345461,0.323984105340934
41,2.79744634071987,0.363799111864478
42,2.54291986451884,0.329685268803933
43,2.69362103429609,0.398047482435152
44,2.78644698472757,0.415623825135149
45,2.08403205976416,0.297755344298441
46,2.85817466661077,0.542380364611118
47,2.2876471757734,0.370319404757347
48,2.15161070575455,0.385169330421233
49,3.64858675669746,0.438803566170092
