year,probs
1985,766
1986,735
1987,697
1988,671
1989,645
1990,619
1991,584
1992,546
1993,503
1994,463
1995,421
1996,381
1997,364
1998,380
1999,381
2000,378
2001,405
2002,427
2003,451
2004,456
2005,492
2006,544
2007,567
2008,562
2009,588
2010,592
2011,569
2012,566
2013,544
2014,522
2015,505
2016,488
2017,465
2018,449
2019,429
2020,447
2021,459
2022,409
2023,359
