age,male,female
0,2303174,2270618
5,2211030,2180802
10,1951459,1851450
15,1637115,1544436
20,1381861,1256814
25,1121471,1125644
30,1058774,1116625
35,987727,1009425
40,852889,792539
45,677287,574534
50,492871,416618
55,358568,324576
60,257692,242926
65,175641,163962
70,109307,106215
75,60563,66100
80,29412,36440
85,11206,15381
90,3363,4816
95,826,1090
100,125,147
