"age_partner","percent"
"10",0.010479603711328
"11",0.0137040969832444
"12",0.0204716105929348
"13",0.0370600131027844
"14",0.0483996598617978
"15",0.073388137490223
"16",0.0885128502640328
"17",0.0899113629842546
"18",0.0954241346848287
"19",0.0875913082528511
"20",0.0681146101599643
"21",0.0552887381484323
"22",0.049227251066607
"23",0.0446145678299165
"24",0.0358606068203287
"25",0.0304812562542591
"26",0.02328588857491
"27",0.0237251424470463
"28",0.0180111676732273
"29",0.017440461627492
"30",0.0129570226280349
"31",0.0144125249181503
"32",0.0103325271232499
"33",0.00598709469411257
"34",0.0058434756660757
"35",0.00311280283195447
"36",0.00372980753532111
"37",0.00396522679149319
"38",0.0012603158936929
"39",0.00192783794002064
"40",0.00233412223934334
"41",0.001650145542228
"42",4.77398433928435e-05
"43",0.000306468599196562
"44",0.000518006180780738
"45",0.000188084033692833
"46",0.000329612553826808
"47",6.1052956332434e-05
"48",4.36634986377008e-05
