"","method","Freq","perc"
"1",BTL,0.0388457269700333,3.88457269700333
"2",Condoms,0.0841657417684055,8.41657417684055
"3",Implants,0.339622641509434,33.9622641509434
"4",Injectables,0.340732519422863,34.0732519422863
"5",IUDs,0.0308916019237884,3.08916019237884
"6",Other modern,0.0312615612282649,3.12615612282649
"7",Other traditional,0.0445800961894192,4.45800961894192
"8",Pill,0.0795412504624491,7.95412504624491
"9",Withdrawal,0.0103588605253422,1.03588605253422





