year,cpr
1990,6.6
1991,6.9
1992,7.2
1993,7.5
1994,7.9
1995,8.3
1996,8.8
1997,9.1
1998,9.2
1999,9.2
2000,9.2
2001,9.1
2002,9.1
2003,9.0
2004,9.1
2005,9.1
2006,9.3
2007,9.5
2008,9.8
2009,10.1
2010,10.6
2011,11.4
2012,12.5
2013,13.9
2014,15.5
2015,16.8
2016,18.1
2017,19.2
2018,19.5
2019,19.7
2020,20.1
2021,20.5
2022,21.0
2023,21.5
2024,21.9
2025,22.5
2026,23.0
2027,23.5
2028,23.9
2029,24.4
2030,24.8
