"month","probs"
0,0.059091349384774
1,0.0784006162535185
2,0.14254738653541
3,0.200143400665787
4,0.389290615910312
5,0.454410502938863
6,0.546406378279077
7,0.513628110257102
8,0.573323481773928
9,0.502251123794744
10,0.646906131210367
11,0.649912897879105
12,0.627626715724119
13,0.700325166297118
14,0.74551558616871
15,0.644298128626407
16,0.692667060817123
17,0.704280272769624
18,0.715075982792872
19,0.760450293229485
20,0.74677598811983
21,0.745516548253349
22,0.708785289229475
23,0.800089519067898
