annual,pp1to6,pp0to1
"[[9.69676308e-01 2.38697869e-03 2.27195372e-03 1.06050209e-02
  2.82797530e-03 9.47468965e-03 2.75707395e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.22387593e-01 5.30487467e-04 6.70628770e-01 2.89056433e-03
  6.64878143e-04 2.24745309e-03 6.50253162e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [7.22941506e-01 1.37621667e-03 1.38865842e-03 2.65123075e-01
  1.71281604e-03 5.78325257e-03 1.67447522e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.78636556e-01 4.53457552e-04 4.61663668e-04 2.47560625e-03
  7.15494328e-01 1.92225454e-03 5.56134305e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.16025258e-01 5.19164584e-04 5.28285386e-04 2.82968003e-03
  6.50736574e-04 6.78810450e-01 6.36425414e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.92075743e-01 4.76915543e-04 4.85456933e-04 2.60216103e-03
  5.97949187e-04 2.02133263e-03 7.01740441e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]","[[0.72193348 0.         0.         0.         0.01432653 0.23834963
  0.02539036 0.         0.         0.        ]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         1.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         1.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         1.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         1.        ]]","[0.91331409 0.         0.         0.         0.02178951 0.0533767
 0.01151971 0.         0.         0.        ]"
"[[9.31390904e-01 5.63040935e-04 2.31237224e-04 1.27030801e-02
  7.31446274e-03 4.59171915e-02 1.88008358e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [8.96025279e-02 9.06069277e-01 9.16173875e-06 8.18461404e-04
  4.57827019e-04 2.93024601e-03 1.12498675e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [4.42300409e-01 1.20161441e-04 5.34311878e-01 4.40558033e-03
  2.46950473e-03 1.57837097e-02 6.08756513e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.25296744e-01 8.39634186e-05 3.60814516e-05 6.61167249e-01
  1.75576758e-03 1.12279134e-02 4.32280446e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.11249859e-01 5.22368560e-05 2.24671370e-05 1.98020586e-03
  7.79331668e-01 7.09095638e-03 2.72606560e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.62485323e-01 2.06347139e-02 7.68085529e-03 2.49419270e-03
  1.39649876e-03 7.04964769e-01 3.43646871e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]","[[0.66775893 0.00546617 0.         0.         0.02370995 0.22852173
  0.07454322 0.         0.         0.        ]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         1.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         1.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         1.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         1.        ]]","[0.95339222 0.         0.         0.         0.0052238  0.03645776
 0.         0.00492622 0.         0.        ]"
"[[8.96965217e-01 7.84251039e-05 6.17463719e-03 2.00565201e-03
  1.17900293e-02 7.56657396e-02 7.32029954e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.61065087e-01 1.21382006e-03 6.17265052e-04 1.09643274e-01
  1.23718537e-02 7.04826852e-01 1.02618478e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.78318789e-03 1.00731468e-04 8.81568490e-01 1.31696543e-04
  9.55008194e-04 1.06705761e-01 7.55124506e-04 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.56363115e-01 2.95888079e-03 1.15079759e-03 7.01602948e-01
  2.45386517e-03 3.40546397e-02 1.41575445e-03 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.36571350e-01 3.78657103e-05 1.55585114e-03 5.41754151e-04
  5.94478873e-01 4.01807413e-02 2.66335650e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.65981636e-01 8.69065632e-04 7.25204609e-04 2.35188025e-03
  1.56314085e-02 8.01042155e-01 1.33986508e-02 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.98250056e-02 1.42316145e-06 1.26751820e-04 4.20809154e-05
  2.53907524e-04 1.57934654e-03 9.68171484e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]","[[0.73824733 0.         0.00146222 0.0034551  0.03555224 0.19725745
  0.02402566 0.         0.         0.        ]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.54906139 0.         0.         0.45093861
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.11541317 0.78650293
  0.09808389 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         1.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         1.        ]]","[8.80586731e-01 0.00000000e+00 6.19726900e-03 7.12884280e-04
 1.71674654e-02 6.40869867e-02 2.93226083e-02 1.92605522e-03
 0.00000000e+00 0.00000000e+00]"
"[[8.83621590e-01 1.34504495e-04 1.04533323e-03 6.62198300e-03
  6.85708861e-03 7.56872191e-02 2.48483076e-02 1.00382365e-03
  7.79949693e-05 1.02155718e-04]
 [2.21315911e-01 7.59997317e-01 1.68645241e-04 1.05428304e-03
  1.07880307e-03 1.23207229e-02 3.88581532e-03 1.61005946e-04
  7.62219102e-06 9.87466668e-06]
 [1.16142562e-01 9.88314797e-06 7.66785295e-01 8.09141566e-04
  1.59357557e-03 1.11518458e-01 2.93726208e-03 8.17819795e-05
  1.14518286e-04 7.52285475e-06]
 [1.01551366e-01 5.85802989e-06 7.56879065e-05 8.60515693e-01
  4.83945136e-04 5.53037115e-03 1.74299613e-03 7.22517006e-05
  3.38272152e-06 3.00184480e-02]
 [7.06442803e-02 3.93255200e-04 1.22944200e-02 5.12100510e-04
  7.66704663e-01 7.81574697e-02 7.11601505e-02 4.88200134e-05
  8.01078705e-05 4.73275594e-06]
 [1.48220840e-01 9.91469513e-05 2.35584685e-04 5.25683601e-03
  1.77737931e-02 8.07183885e-01 1.91439682e-02 1.06512924e-04
  1.90103212e-03 7.84000989e-05]
 [4.42780542e-02 1.06093339e-02 3.22586809e-05 2.17188160e-04
  2.70988883e-04 9.29597880e-03 9.35255244e-01 3.05129077e-05
  8.45799934e-06 1.98227052e-06]
 [8.88032466e-02 8.12973583e-06 2.30041522e-04 4.11880001e-04
  2.34356726e-02 5.78441485e-03 2.41388709e-03 8.78905403e-01
  3.52933667e-06 3.79548977e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]","[[0.7610094  0.0032955  0.         0.01466386 0.03821378 0.14176189
  0.02608761 0.         0.00151875 0.0134492 ]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         1.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.59776329 0.40223671
  0.         0.         0.         0.        ]
 [0.0689068  0.         0.         0.         0.         0.87697448
  0.05411873 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         1.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         1.        ]]","[0.92352146 0.         0.00247866 0.0094773  0.0150328  0.03340204
 0.         0.00356396 0.01252378 0.        ]"
"[[9.50279937e-01 5.70455919e-06 5.29155570e-03 4.01342834e-03
  1.26048287e-02 1.68499885e-02 6.94016733e-03 0.00000000e+00
  4.01438999e-03 0.00000000e+00]
 [8.89513359e-01 6.87234430e-02 4.39617206e-03 3.39094269e-03
  1.06045471e-02 1.42439740e-02 5.78911985e-03 0.00000000e+00
  3.33844225e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.39192238e-01 3.90898443e-07 4.87819570e-04 8.56531090e-01
  1.18271894e-03 1.59169853e-03 6.43444312e-04 0.00000000e+00
  3.70599891e-04 0.00000000e+00]
 [7.41031008e-02 2.04260137e-07 2.56162219e-04 1.98985898e-04
  9.24072988e-01 8.36043348e-04 3.37903883e-04 0.00000000e+00
  1.94611133e-04 0.00000000e+00]
 [6.17111356e-02 4.70857676e-04 9.55481003e-03 1.16657108e-02
  9.32704204e-03 9.01491734e-01 2.79592882e-04 0.00000000e+00
  5.49911725e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [8.54849961e-02 2.36384180e-07 2.96200063e-04 2.30077353e-04
  7.18248744e-04 9.66673449e-04 3.90713815e-04 9.11687826e-01
  2.25028040e-04 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.00000000e+00]]","[[0.85747289 0.         0.01054083 0.         0.         0.10984566
  0.         0.01978547 0.00235515 0.        ]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         1.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         1.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         1.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         1.        ]]","[0.99005051 0.         0.00994949 0.         0.         0.
 0.         0.         0.         0.        ]"
