"space_mo","urban_rural","Freq"
"78","rural",34.916763
"79","rural",33.147377
"80","rural",24.006329
"81","rural",21.018846
"82","rural",48.123902
"83","rural",35.642597
"84","rural",31.438876
"85","rural",39.399511
"86","rural",26.855443
"87","rural",32.751822
"88","rural",22.412904
"89","rural",34.072731
"90","rural",28.254206
"91","rural",22.904022
"92","rural",7.595234
"93","rural",21.275871
"94","rural",16.071069
"95","rural",38.352711
"96","rural",10.422392
"97","rural",21.382273
"98","rural",24.629904
"99","rural",25.596078
"100","rural",21.732025
"101","rural",13.585683
"102","rural",22.826373
"103","rural",10.389356
"104","rural",8.107553
"105","rural",6.241705
"106","rural",6.794871
"107","rural",11.441529
"108","rural",8.624499
"109","rural",8.708622
"110","rural",20.787422
"111","rural",4.534198
"112","rural",7.024249
"113","rural",5.66058
"114","rural",4.558594
"115","rural",0.108112
"116","rural",5.42316
"117","rural",10.728544
"118","rural",3.566
"119","rural",12.574764
"120","rural",4.892053
"121","rural",14.158986
"122","rural",4.895521
"123","rural",8.276397
"124","rural",5.9347
"125","rural",2.06556
"126","rural",6.738632
"127","rural",9.0844
"128","rural",3.132991
"129","rural",1.761944
"130","rural",11.98043
"131","rural",3.992632
"132","rural",2.507766
"133","rural",3.057427
"134","rural",1.976129
"135","rural",4.377086
"136","rural",3.995049
"137","rural",0
"138","rural",3.765572
"139","rural",2.412404
"140","rural",0.040982
"141","rural",0.336647
"142","rural",0.244721
"143","rural",3.534384
"144","rural",2.916618
"145","rural",2.423078
"146","rural",5.146995
"147","rural",4.032055
"148","rural",0.48466
"149","rural",0.05905
"150","rural",0
"151","rural",1.981434
"152","rural",0.102411
"153","rural",0
"154","rural",4.937284
"155","rural",1.674679
"156","rural",0.484989
"157","rural",0.355952
"158","rural",1.447023
"159","rural",2.976974
"161","rural",0
"163","rural",2.502914
"164","rural",0
"165","rural",2.472727
"166","rural",1.605871
"167","rural",0
"168","rural",0
"169","rural",0.698433
"170","rural",1.701514
"172","rural",1.447023
"173","rural",0
"174","rural",1.447023
"175","rural",0
"176","rural",0.145981
"178","rural",0.212444
"179","rural",0.041296
"180","rural",0
"182","rural",0
"183","rural",2.532077
"186","rural",2.423078
"187","rural",0
"190","rural",2.357173
"191","rural",0
"194","rural",2.028877
"197","rural",1.605871
"198","rural",0
"200","rural",1.221068
"201","rural",0
"204","rural",1.676267
"208","rural",0
"213","rural",0
