region,freq,perc
Addis Ababa,0.036606048,3.660604829
Afar,0.019263411,1.926341096
Amhara,0.215423578,21.54235785
Benishangul-Gumuz,0.011608154,1.160815372
Dire Dawa,0.005112784,0.511278393
Gambela,0.004871527,0.487152734
Harari,0.002625985,0.262598521
Oromia,0.379366712,37.93667118
SNNPR,0.20917945,20.91794496
Somali,0.061770967,6.177096665
Tigray,0.054171384,5.417138401
