year,ages,parity,percentage
1992-93,25-29,9,0.01584786053882726
1992-93,25-29,10,0.0
1992-93,25-29,11,0.0
1992-93,25-29,12,0.0
1992-93,25-29,13,0.0
1992-93,25-29,14,0.0
1992-93,25-29,15,0.0
1992-93,25-29,16,0.0
1992-93,25-29,17,0.0
1992-93,30-34,0,0.8082408874801902
1992-93,30-34,1,0.6497622820919177
1992-93,30-34,2,1.2202852614896988
1992-93,30-34,3,1.4580031695721078
1992-93,30-34,4,1.8066561014263076
1992-93,30-34,5,2.5039619651347067
1992-93,30-34,6,2.757527733755943
1992-93,30-34,7,1.473851030110935
1992-93,30-34,8,0.7290015847860539
1992-93,30-34,9,0.42789223454833597
1992-93,30-34,10,0.14263074484944532
1992-93,30-34,11,0.0
1992-93,30-34,12,0.01584786053882726
1992-93,30-34,13,0.0
1992-93,30-34,14,0.0
1992-93,30-34,15,0.0
1992-93,30-34,16,0.0
1992-93,30-34,17,0.0
1992-93,35-39,0,0.42789223454833597
1992-93,35-39,1,0.4754358161648178
1992-93,35-39,2,0.9033280507131538
1992-93,35-39,3,0.8082408874801902
1992-93,35-39,4,0.8874801901743266
1992-93,35-39,5,1.4896988906497624
1992-93,35-39,6,1.9651347068145801
1992-93,35-39,7,2.13946117274168
1992-93,35-39,8,1.7274167987321711
1992-93,35-39,9,1.0776545166402536
1992-93,35-39,10,0.4754358161648178
1992-93,35-39,11,0.22187004754358164
1992-93,35-39,12,0.06339144215530904
1992-93,35-39,13,0.03169572107765452
1992-93,35-39,14,0.0
1992-93,35-39,15,0.0
1992-93,35-39,16,0.0
1992-93,35-39,17,0.0
1992-93,40-44,0,0.2694136291600634
1992-93,40-44,1,0.28526148969889065
1992-93,40-44,2,0.4120443740095087
1992-93,40-44,3,0.42789223454833597
1992-93,40-44,4,0.4437400950871633
1992-93,40-44,5,0.7131537242472267
1992-93,40-44,6,0.9350237717908083
1992-93,40-44,7,1.283676703645008
1992-93,40-44,8,1.410459587955626
1992-93,40-44,9,1.2995245641838353
1992-93,40-44,10,1.0142630744849446
1992-93,40-44,11,0.5229793977812995
1992-93,40-44,12,0.20602218700475436
1992-93,40-44,13,0.07923930269413629
1992-93,40-44,14,0.01584786053882726
1992-93,40-44,15,0.01584786053882726
1992-93,40-44,16,0.0
1992-93,40-44,17,0.0
1992-93,45-49,0,0.14263074484944532
1992-93,45-49,1,0.11093502377179082
1992-93,45-49,2,0.28526148969889065
1992-93,45-49,3,0.25356576862123614
1992-93,45-49,4,0.28526148969889065
1992-93,45-49,5,0.39619651347068147
1992-93,45-49,6,0.5071315372424723
1992-93,45-49,7,0.6973058637083994
1992-93,45-49,8,0.7765451664025357
1992-93,45-49,9,0.9191759112519811
1992-93,45-49,10,0.7448494453248812
1992-93,45-49,11,0.36450079239302696
1992-93,45-49,12,0.2377179080824089
1992-93,45-49,13,0.11093502377179082
1992-93,45-49,14,0.03169572107765452
1992-93,45-49,15,0.01584786053882726
1992-93,45-49,16,0.0
1992-93,45-49,17,0.0
1997,15-19,0,18.439226426680012
1997,15-19,1,3.256310773120364
1997,15-19,2,0.742841883240744
1997,15-19,3,0.10663954218901664
1997,15-19,4,0.0
1997,15-19,5,0.0
1997,15-19,6,0.0
1997,15-19,7,0.0
1997,15-19,8,0.0
1997,15-19,9,0.0
1997,15-19,10,0.0
1997,15-19,11,0.0
1997,15-19,12,0.0
1997,15-19,13,0.0
1997,15-19,14,0.0
1997,15-19,15,0.0
1997,15-19,16,0.0
1997,15-19,17,0.0
1997,20-24,0,8.091247426980866
1997,20-24,1,4.0927779662336885
1997,20-24,2,4.060769401610521
1997,20-24,3,2.1218636008420657
1997,20-24,4,0.7522323055344546
1997,20-24,5,0.1773810400050138
1997,20-24,6,0.06702817307335149
1997,20-24,7,0.0
1997,20-24,8,0.0
1997,20-24,9,0.0
1997,20-24,10,0.0
1997,20-24,11,0.0
1997,20-24,12,0.0
1997,20-24,13,0.0
1997,20-24,14,0.0
1997,20-24,15,0.0
1997,20-24,16,0.0
1997,20-24,17,0.0
1997,25-29,0,3.1277741289726047
1997,25-29,1,2.4234641082888633
1997,25-29,2,2.952323404311141
1997,25-29,3,3.237047175136369
1997,25-29,4,2.8978332387273182
1997,25-29,5,1.5868612349727893
1997,25-29,6,0.6596985818200263
1997,25-29,7,0.20602365565121622
1997,25-29,8,0.037402233806622526
1997,25-29,9,0.0
1997,25-29,10,0.0
1997,25-29,11,0.0
1997,25-29,12,0.0
1997,25-29,13,0.0
1997,25-29,14,0.0
1997,25-29,15,0.0
1997,25-29,16,0.0
1997,25-29,17,0.0
1997,30-34,0,0.67875226476009
1997,30-34,1,0.888007446022463
1997,30-34,2,1.4105349488211243
1997,30-34,3,1.6304089010143643
1997,30-34,4,2.24814040562011
1997,30-34,5,2.247387711578286
1997,30-34,6,2.090954547432207
1997,30-34,7,1.2103714117818394
1997,30-34,8,0.516042096171126
1997,30-34,9,0.2393213509425001
1997,30-34,10,0.07502618295956826
1997,30-34,11,0.0
1997,30-34,12,0.0
1997,30-34,13,0.0
1997,30-34,14,0.0
1997,30-34,15,0.0
1997,30-34,16,0.0
1997,30-34,17,0.0
1997,35-39,0,0.3728632783841395
1997,35-39,1,0.6137696985448817
1997,35-39,2,0.8217993125036994
1997,35-39,3,0.8323744665377568
1997,35-39,4,1.1922792440138972
1997,35-39,5,1.7450938754093683
1997,35-39,6,1.972384876250155
1997,35-39,7,2.0725875164076615
1997,35-39,8,1.5268628418458008
1997,35-39,9,1.0793404118010481
1997,35-39,10,0.4618227323986061
1997,35-39,11,0.2734725548906197
1997,35-39,12,0.05824117215994489
1997,35-39,13,0.0088480855162226
1997,35-39,14,0.0
1997,35-39,15,0.0
1997,35-39,16,0.0
1997,35-39,17,0.0
1997,40-44,0,0.2128809580021639
1997,40-44,1,0.29351547323978505
1997,40-44,2,0.35336295283480196
1997,40-44,3,0.5012133520704121
1997,40-44,4,0.596883465821979
1997,40-44,5,0.7952742576305216
1997,40-44,6,0.9392876151464358
1997,40-44,7,1.174218881202994
1997,40-44,8,1.4207706754194158
1997,40-44,9,1.0723133200892534
1997,40-44,10,0.7233026655705052
1997,40-44,11,0.3708170431075256
1997,40-44,12,0.10437263893019717
1997,40-44,13,0.10823848316312797
1997,40-44,14,0.02963770465698367
1997,40-44,15,0.01675175117019907
1997,40-44,16,0.0
1997,40-44,17,0.0
1997,45-49,0,0.10199729857306573
1997,45-49,1,0.14582208552278678
1997,45-49,2,0.23268549627815666
1997,45-49,3,0.1953425200058338
1997,45-49,4,0.412636535080253
1997,45-49,5,0.24800980652981675
1997,45-49,6,0.5296601106266177
1997,45-49,7,0.6701720018861245
1997,45-49,8,0.8483018141362111
1997,45-49,9,0.8299621193151357
1997,45-49,10,0.8986294521447157
1997,45-49,11,0.48861414360427646
1997,45-49,12,0.22971492725559697
1997,45-49,13,0.0940884891975338
1997,45-49,14,0.028382846070271986
1997,45-49,15,0.016010194100158803
1997,45-49,16,0.013695286652614621
1997,45-49,17,0.0
2005,15-19,0,20.624179106075776
2005,15-19,1,2.799247339517867
2005,15-19,2,0.8152834856040252
2005,15-19,3,0.09721934631196923
2005,15-19,4,0.011478064607017023
2005,15-19,5,0.007402027092705969
2005,15-19,6,0.0
2005,15-19,7,0.0
2005,15-19,8,0.0
2005,15-19,9,0.0
2005,15-19,10,0.0
2005,15-19,11,0.0
2005,15-19,12,0.0
2005,15-19,13,0.0
2005,15-19,14,0.0
2005,15-19,15,0.0
2005,15-19,16,0.0
2005,15-19,17,0.0
2005,20-24,0,8.811050700795391
2005,20-24,1,4.441510229050812
2005,20-24,2,3.756396479996643
2005,20-24,3,1.6886780379742543
2005,20-24,4,0.5712645575758786
2005,20-24,5,0.1753790638751479
2005,20-24,6,0.022966942801174634
2005,20-24,7,0.006413244737713877
2005,20-24,8,0.0
2005,20-24,9,0.0
2005,20-24,10,0.0
2005,20-24,11,0.0
2005,20-24,12,0.0
2005,20-24,13,0.0
2005,20-24,14,0.0
2005,20-24,15,0.0
2005,20-24,16,0.0
2005,20-24,17,0.0
2005,25-29,0,3.4862299969339685
2005,25-29,1,2.5403956215147945
2005,25-29,2,2.8521951957837044
2005,25-29,3,3.207731881248473
2005,25-29,4,2.3927730018615962
2005,25-29,5,1.1089698562679493
2005,25-29,6,0.47827013249223965
2005,25-29,7,0.14944210327897334
2005,25-29,8,0.05812579762493718
2005,25-29,9,0.01826812073906243
2005,25-29,10,0.0
2005,25-29,11,0.0
2005,25-29,12,0.0
2005,25-29,13,0.0
2005,25-29,14,0.0
2005,25-29,15,0.0
2005,25-29,16,0.0
2005,25-29,17,0.0
2005,30-34,0,1.3000845453427967
2005,30-34,1,1.2720885243514113
2005,30-34,2,1.8936247363126892
2005,30-34,3,1.8029270787868006
2005,30-34,4,2.0965358230984523
2005,30-34,5,1.934109519072195
2005,30-34,6,1.5025967278703174
2005,30-34,7,0.9856445108725407
2005,30-34,8,0.3940464785040088
2005,30-34,9,0.11117606451908427
2005,30-34,10,0.052050280594530554
2005,30-34,11,0.025253293977645218
2005,30-34,12,0.004948911090104624
2005,30-34,13,0.0
2005,30-34,14,0.0
2005,30-34,15,0.0
2005,30-34,16,0.0
2005,30-34,17,0.0
2005,35-39,0,0.8309210762882607
2005,35-39,1,0.7797599547098153
2005,35-39,2,0.5579032304089254
2005,35-39,3,1.1865089259769228
2005,35-39,4,1.148517363315202
2005,35-39,5,1.5516324282812959
2005,35-39,6,1.7637231137188518
2005,35-39,7,1.351400522419927
2005,35-39,8,0.929260954030213
2005,35-39,9,0.5441051890948106
2005,35-39,10,0.32059317785293534
2005,35-39,11,0.05730287611032376
2005,35-39,12,0.022016970198130432
2005,35-39,13,0.0
2005,35-39,14,0.0
2005,35-39,15,0.0
2005,35-39,16,0.0
2005,35-39,17,0.0
2005,40-44,0,0.3159596824581658
2005,40-44,1,0.33260464884070357
2005,40-44,2,0.5286155849872192
2005,40-44,3,0.6273869995033892
2005,40-44,4,0.7767870332030056
2005,40-44,5,0.939510365032595
2005,40-44,6,1.006446127013995
2005,40-44,7,1.2574738551810631
