year,ages,parity,percentage
2014,35-39,1,0.9569711745041362
2014,35-39,2,1.3414919039940396
2014,35-39,3,1.5331817986545173
2014,35-39,4,1.5521229629520028
2014,35-39,5,1.3421344935424313
2014,35-39,6,1.4193140777105797
2014,35-39,7,1.100663495356924
2014,35-39,8,0.7092834820632976
2014,35-39,9,0.321118631403277
2014,35-39,10,0.1018572353617727
2014,35-39,11,0.06250040155956105
2014,35-39,12,0.0
2014,35-39,13,0.0
2014,35-39,14,0.0
2014,35-39,15,0.0
2014,35-39,16,0.0
2014,35-39,17,0.0
2014,40-44,0,0.6815454161178878
2014,40-44,1,0.5947091282146244
2014,40-44,2,0.48893182917127676
2014,40-44,3,0.883162961737394
2014,40-44,4,0.8891132328028141
2014,40-44,5,1.1412815450133138
2014,40-44,6,1.0055574146736865
2014,40-44,7,1.1150530455386618
2014,40-44,8,0.7625616403093569
2014,40-44,9,0.5924340574904098
2014,40-44,10,0.4137688095969356
2014,40-44,11,0.10199464111325124
2014,40-44,12,0.12854498319434174
2014,40-44,13,0.007078251761965597
2014,40-44,14,0.020792719463597682
2014,40-44,15,0.0
2014,40-44,16,0.0
2014,40-44,17,0.0
2014,45-49,0,0.19702463791214964
2014,45-49,1,0.28869768366802395
2014,45-49,2,0.35003238068501075
2014,45-49,3,0.5669733596302313
2014,45-49,4,0.6816373459025732
2014,45-49,5,0.7641445691752494
2014,45-49,6,0.8964111947473504
2014,45-49,7,0.6881879232923386
2014,45-49,8,0.8991838738677924
2014,45-49,9,0.61308181936452
2014,45-49,10,0.3055504761132557
2014,45-49,11,0.2523310124958396
2014,45-49,12,0.1854175571431869
2014,45-49,13,0.011115575106103044
2014,45-49,14,0.016131338616603524
2014,45-49,15,0.0
2014,45-49,16,0.0
2014,45-49,17,0.0
2015,15-19,0,19.742525854210193
2015,15-19,1,2.5186618411443953
2015,15-19,2,0.3660217513206758
2015,15-19,3,0.0
2015,15-19,4,0.0
2015,15-19,5,0.0
2015,15-19,6,0.0
2015,15-19,7,0.0
2015,15-19,8,0.0
2015,15-19,9,0.0
2015,15-19,10,0.0
2015,15-19,11,0.0
2015,15-19,12,0.0
2015,15-19,13,0.0
2015,15-19,14,0.0
2015,15-19,15,0.0
2015,15-19,16,0.0
2015,15-19,17,0.0
2015,20-24,0,9.208210926564957
2015,20-24,1,4.430348756416751
2015,20-24,2,3.179118993708089
2015,20-24,3,1.3644295678774392
2015,20-24,4,0.3405904447443751
2015,20-24,5,0.00748647592169486
2015,20-24,6,0.007114179015177645
2015,20-24,7,0.0
2015,20-24,8,0.0
2015,20-24,9,0.0
2015,20-24,10,0.0
2015,20-24,11,0.0
2015,20-24,12,0.0
2015,20-24,13,0.0
2015,20-24,14,0.0
2015,20-24,15,0.0
2015,20-24,16,0.0
2015,20-24,17,0.0
2015,25-29,0,4.195056625677072
2015,25-29,1,3.032137774834283
2015,25-29,2,3.5731298642191787
2015,25-29,3,3.799282067490122
2015,25-29,4,2.7435617000780335
2015,25-29,5,1.0412175432264164
2015,25-29,6,0.32777948584336586
2015,25-29,7,0.1271054652067811
2015,25-29,8,0.0
2015,25-29,9,0.0
2015,25-29,10,0.0
2015,25-29,11,0.0
2015,25-29,12,0.0
2015,25-29,13,0.0
2015,25-29,14,0.0
2015,25-29,15,0.0
2015,25-29,16,0.0
2015,25-29,17,0.0
2015,30-34,0,1.5206190793747913
2015,30-34,1,1.3374377258065135
2015,30-34,2,2.0308385223521497
2015,30-34,3,2.421260047114205
2015,30-34,4,2.462926140324026
2015,30-34,5,2.057426895898293
2015,30-34,6,1.4168257704175384
2015,30-34,7,0.5656199726388076
2015,30-34,8,0.1949639541167988
2015,30-34,9,0.05669205601113048
2015,30-34,10,0.02119422612383314
2015,30-34,11,0.0
2015,30-34,12,0.0
2015,30-34,13,0.0
2015,30-34,14,0.0
2015,30-34,15,0.0
2015,30-34,16,0.0
2015,30-34,17,0.0
2015,35-39,0,0.949684475750554
2015,35-39,1,0.5219339156323889
2015,35-39,2,1.1268361605020212
2015,35-39,3,1.1229427361252253
2015,35-39,4,1.6823402594751444
2015,35-39,5,1.8372327989105997
2015,35-39,6,1.5267015783789921
2015,35-39,7,1.4426354410112692
2015,35-39,8,0.6437483291097459
2015,35-39,9,0.49530999808078635
2015,35-39,10,0.2199865724192634
2015,35-39,11,0.05108479143211898
2015,35-39,12,0.015237622495613326
2015,35-39,13,0.0
2015,35-39,14,0.0
2015,35-39,15,0.0
2015,35-39,16,0.0
2015,35-39,17,0.0
2015,40-44,0,0.4989269452301186
2015,40-44,1,0.319994806336134
2015,40-44,2,0.5071262897368345
2015,40-44,3,0.5760199271923733
2015,40-44,4,0.8859142818486629
2015,40-44,5,1.1770294029783808
2015,40-44,6,1.3081267899044868
2015,40-44,7,1.073613463800643
2015,40-44,8,0.9375686586244684
2015,40-44,9,0.8321100463523026
2015,40-44,10,0.37272897068021044
2015,40-44,11,0.16013731390920125
2015,40-44,12,0.03901269817797505
2015,40-44,13,0.03127004781896618
2015,40-44,14,0.0
2015,40-44,15,0.0
2015,40-44,16,0.0
2015,40-44,17,0.0
2015,45-49,0,0.5289640024566462
2015,45-49,1,0.2977139572583646
2015,45-49,2,0.3295572397260915
2015,45-49,3,0.3575760843705305
2015,45-49,4,0.7634222839341076
2015,45-49,5,0.5467684083039231
2015,45-49,6,0.5444778762165606
2015,45-49,7,0.8175998670656907
2015,45-49,8,0.508310528776966
2015,45-49,9,0.3818263831799233
2015,45-49,10,0.3128794410143533
2015,45-49,11,0.09936724421383744
2015,45-49,12,0.055403421989928925
2015,45-49,13,0.011295231901506034
2015,45-49,14,0.0
2015,45-49,15,0.0
2015,45-49,16,0.0
2015,45-49,17,0.0
2016,15-19,0,19.767184750841356
2016,15-19,1,2.2925847747510693
2016,15-19,2,0.4440045935315577
2016,15-19,3,0.03956261825608092
2016,15-19,4,0.0
2016,15-19,5,0.0
2016,15-19,6,0.0
2016,15-19,7,0.0
2016,15-19,8,0.0
2016,15-19,9,0.0
2016,15-19,10,0.0
2016,15-19,11,0.0
2016,15-19,12,0.0
2016,15-19,13,0.0
2016,15-19,14,0.0
2016,15-19,15,0.0
2016,15-19,16,0.0
2016,15-19,17,0.0
2016,20-24,0,9.445166654029967
2016,20-24,1,4.5781403332668305
2016,20-24,2,3.06731175865126
2016,20-24,3,1.4129465298530568
2016,20-24,4,0.21821396049527636
2016,20-24,5,0.04227444011090768
2016,20-24,6,0.006560361172875236
2016,20-24,7,0.0
2016,20-24,8,0.0
2016,20-24,9,0.0
2016,20-24,10,0.0
2016,20-24,11,0.0
2016,20-24,12,0.0
2016,20-24,13,0.0
2016,20-24,14,0.0
2016,20-24,15,0.0
2016,20-24,16,0.0
2016,20-24,17,0.0
2016,25-29,0,3.5577994557063795
2016,25-29,1,3.1400922121133967
2016,25-29,2,3.342301603586084
2016,25-29,3,3.490221664559587
2016,25-29,4,2.135728785695396
2016,25-29,5,0.8799834451342881
2016,25-29,6,0.556673542304405
2016,25-29,7,0.07194978225766953
2016,25-29,8,0.017611416223973837
2016,25-29,9,0.0
2016,25-29,10,0.0
2016,25-29,11,0.0
2016,25-29,12,0.0
2016,25-29,13,0.0
2016,25-29,14,0.0
2016,25-29,15,0.0
2016,25-29,16,0.0
2016,25-29,17,0.0
2016,30-34,0,2.201883655196404
2016,30-34,1,1.7408879951498375
2016,30-34,2,1.8157396274689968
2016,30-34,3,2.55649106604383
2016,30-34,4,2.4210433799623106
2016,30-34,5,1.798622886951232
2016,30-34,6,1.2393767106135611
2016,30-34,7,0.7190563899629386
2016,30-34,8,0.2871532745267904
2016,30-34,9,0.08342840641391804
2016,30-34,10,0.006560361172875236
2016,30-34,11,0.0
2016,30-34,12,0.0
2016,30-34,13,0.0
2016,30-34,14,0.0
2016,30-34,15,0.0
2016,30-34,16,0.0
2016,30-34,17,0.0
2016,35-39,0,0.9161463114522379
2016,35-39,1,0.5266665250204883
2016,35-39,2,1.0459696318776852
2016,35-39,3,1.5759497723418205
2016,35-39,4,1.6541671464457754
2016,35-39,5,1.666925364550203
2016,35-39,6,1.5520595065159961
2016,35-39,7,1.0446245444136633
2016,35-39,8,0.8469040532489239
2016,35-39,9,0.23445762709998758
2016,35-39,10,0.11622282367118485
2016,35-39,11,0.069459528373594
2016,35-39,12,0.00796161333124445
2016,35-39,13,0.0
2016,35-39,14,0.0
2016,35-39,15,0.0
2016,35-39,16,0.0
2016,35-39,17,0.0
2016,40-44,0,0.6086522692352759
2016,40-44,1,0.494827189575031
2016,40-44,2,0.9489354044002595
2016,40-44,3,1.1226095891252146
2016,40-44,4,1.0286916618005093
2016,40-44,5,0.8789928303264564
2016,40-44,6,1.1421772265038421
2016,40-44,7,1.0741302644457633
2016,40-44,8,0.7807548464666473
2016,40-44,9,0.5941601875690797
2016,40-44,10,0.2927637315529907
2016,40-44,11,0.061260001893428145
2016,40-44,12,0.05017817413974278
2016,40-44,13,0.008404106294723646
2016,40-44,14,0.0
2016,40-44,15,0.0
2016,40-44,16,0.0
2016,40-44,17,0.0
2016,45-49,0,0.4209183322427099
2016,45-49,1,0.23974581677274157
2016,45-49,2,0.1821693570123411
2016,45-49,3,0.48935725144770303
2016,45-49,4,0.5568592388696482
2016,45-49,5,0.7083820636318878
2016,45-49,6,0.8238771038626426
2016,45-49,7,0.8407477868431916
2016,45-49,8,0.6864297786894258
2016,45-49,9,0.5519178625183863
2016,45-49,10,0.40019859104956734
2016,45-49,11,0.30356703701944365
2016,45-49,12,0.04558991680672727
2016,45-49,13,0.023471416405095105
2016,45-49,14,0.006160079152607072
2016,45-49,15,0.0
2016,45-49,16,0.0
2016,45-49,17,0.0
2017,15-19,0,19.40196922138166
2017,15-19,1,2.3722620516658024
2017,15-19,2,0.38471675261575855
2017,15-19,3,0.04651425526675221
2017,15-19,4,0.0
2017,15-19,5,0.0
2017,15-19,6,0.0
2017,15-19,7,0.0
2017,15-19,8,0.0
2017,15-19,9,0.0
2017,15-19,10,0.0
2017,15-19,11,0.0
2017,15-19,12,0.0
2017,15-19,13,0.0
2017,15-19,14,0.0
2017,15-19,15,0.0
2017,15-19,16,0.0
2017,15-19,17,0.0
2017,20-24,0,9.307404767552482
2017,20-24,1,4.581973986511838
2017,20-24,2,2.9007096561177255
2017,20-24,3,1.1570955131162504
2017,20-24,4,0.2997067862262502
2017,20-24,5,0.08329893403611886
2017,20-24,6,0.015938369040555733
2017,20-24,7,0.0
2017,20-24,8,0.0
2017,20-24,9,0.0
2017,20-24,10,0.0
2017,20-24,11,0.0
2017,20-24,12,0.0
2017,20-24,13,0.0
2017,20-24,14,0.0
2017,20-24,15,0.0
2017,20-24,16,0.0
2017,20-24,17,0.0
2017,25-29,0,4.029527364866138
2017,25-29,1,3.163483440466842
2017,25-29,2,3.257162579465483
2017,25-29,3,3.0300051471996396
2017,25-29,4,2.0675310442957118
2017,25-29,5,0.8128987165828984
2017,25-29,6,0.29645917794479204
2017,25-29,7,0.0477381308897476
2017,25-29,8,0.021580901975784914
2017,25-29,9,0.0
2017,25-29,10,0.0
2017,25-29,11,0.0
2017,25-29,12,0.0
2017,25-29,13,0.0
2017,25-29,14,0.0
2017,25-29,15,0.0
2017,25-29,16,0.0
2017,25-29,17,0.0
2017,30-34,0,2.0382971667721574
2017,30-34,1,1.9254416709912452
2017,30-34,2,2.0008524355786004
2017,30-34,3,2.4008538907045964
2017,30-34,4,2.5114814541478965
2017,30-34,5,2.1882358103770794
2017,30-34,6,1.3588546191935493
2017,30-34,7,0.686307180953648
2017,30-34,8,0.2057429030791992
2017,30-34,9,0.06423902450516791
2017,30-34,10,0.03830196000503564
2017,30-34,11,0.0098054804710057
2017,30-34,12,0.0
2017,30-34,13,0.0
2017,30-34,14,0.0
2017,30-34,15,0.0
2017,30-34,16,0.0
2017,30-34,17,0.0
2017,35-39,0,0.7734349944953584
2017,35-39,1,0.7882032914515888
2017,35-39,2,1.0607077602983337
2017,35-39,3,1.5964230004501558
2017,35-39,4,1.5636527912270441
2017,35-39,5,1.5832909577449088
2017,35-39,6,1.3678516466917205
2017,35-39,7,1.3154188413324883
2017,35-39,8,0.7375192202389531
2017,35-39,9,0.2447668145972564
2017,35-39,10,0.1081965811257144
2017,35-39,11,0.026049371643018838
2017,35-39,12,0.023104652503193924
2017,35-39,13,0.0
2017,35-39,14,0.0
2017,35-39,15,0.0
2017,35-39,16,0.0
2017,35-39,17,0.0
2017,40-44,0,0.5582791944935358
2017,40-44,1,0.4740248008717273
2017,40-44,2,0.6886032850911433
2017,40-44,3,1.01646818783105
2017,40-44,4,1.0556265128839342
2017,40-44,5,1.2392663182385244
2017,40-44,6,1.213051830731371
2017,40-44,7,1.0414914559374169
2017,40-44,8,0.9733074144388457
2017,40-44,9,0.6667152466394612
2017,40-44,10,0.2765227627809345
2017,40-44,11,0.17486388943174747
2017,40-44,12,0.0501362365764737
2017,40-44,13,0.016673670169405467
2017,40-44,14,0.0031422946454801952
2017,40-44,15,0.0
2017,40-44,16,0.0
2017,40-44,17,0.0
2017,45-49,0,0.3089738560201479
2017,45-49,1,0.3081194806071439
2017,45-49,2,0.30998482880079636
2017,45-49,3,0.5416372750837752
2017,45-49,4,0.6648042678981766
2017,45-49,5,0.7949158607287948
2017,45-49,6,0.9274708859872532
2017,45-49,7,0.925704030675396
2017,45-49,8,0.610571849736039
2017,45-49,9,0.5535611447931231
2017,45-49,10,0.4096326280964448
2017,45-49,11,0.17973755359636348
2017,45-49,12,0.06707917463283397
2017,45-49,13,0.038864264171249774
2017,45-49,14,0.015759480614263695
2017,45-49,15,0.0
2017,45-49,16,0.0
2017,45-49,17,0.0
