age,parity,dataset,percentage
45-49,0,DHS 1992-93,0.1426307448494453
45-49,1,DHS 1992-93,0.1109350237717908
45-49,2,DHS 1992-93,0.2852614896988906
45-49,3,DHS 1992-93,0.2535657686212361
45-49,4,DHS 1992-93,0.2852614896988906
45-49,5,DHS 1992-93,0.3961965134706814
45-49,6,DHS 1992-93,0.5071315372424723
45-49,7,DHS 1992-93,0.6973058637083994
45-49,8,DHS 1992-93,0.7765451664025357
45-49,9,DHS 1992-93,0.9191759112519812
45-49,10,DHS 1992-93,0.7448494453248812
45-49,11,DHS 1992-93,0.3645007923930269
45-49,12,DHS 1992-93,0.2377179080824089
45-49,13,DHS 1992-93,0.1109350237717908
45-49,14,DHS 1992-93,0.0316957210776545
45-49,15,DHS 1992-93,0.0158478605388272
15-19,0,DHS 1997,18.43922642668001
15-19,1,DHS 1997,3.256310773120364
15-19,2,DHS 1997,0.742841883240744
15-19,3,DHS 1997,0.1066395421890166
20-24,0,DHS 1997,8.091247426980866
20-24,1,DHS 1997,4.0927779662336885
20-24,2,DHS 1997,4.060769401610521
20-24,3,DHS 1997,2.1218636008420657
20-24,4,DHS 1997,0.7522323055344546
20-24,5,DHS 1997,0.1773810400050138
20-24,6,DHS 1997,0.0670281730733514
25-29,0,DHS 1997,3.1277741289726047
25-29,1,DHS 1997,2.4234641082888637
25-29,2,DHS 1997,2.952323404311141
25-29,3,DHS 1997,3.237047175136369
25-29,4,DHS 1997,2.8978332387273182
25-29,5,DHS 1997,1.5868612349727893
25-29,6,DHS 1997,0.6596985818200263
25-29,7,DHS 1997,0.2060236556512162
25-29,8,DHS 1997,0.0374022338066225
30-34,0,DHS 1997,0.67875226476009
30-34,1,DHS 1997,0.888007446022463
30-34,2,DHS 1997,1.4105349488211243
30-34,3,DHS 1997,1.6304089010143643
30-34,4,DHS 1997,2.24814040562011
30-34,5,DHS 1997,2.247387711578286
30-34,6,DHS 1997,2.090954547432207
30-34,7,DHS 1997,1.2103714117818394
30-34,8,DHS 1997,0.516042096171126
30-34,9,DHS 1997,0.2393213509425001
30-34,10,DHS 1997,0.0750261829595682
35-39,0,DHS 1997,0.3728632783841395
35-39,1,DHS 1997,0.6137696985448817
35-39,2,DHS 1997,0.8217993125036994
35-39,3,DHS 1997,0.8323744665377568
35-39,4,DHS 1997,1.1922792440138972
35-39,5,DHS 1997,1.7450938754093683
35-39,6,DHS 1997,1.972384876250155
35-39,7,DHS 1997,2.072587516407661
35-39,8,DHS 1997,1.5268628418458008
35-39,9,DHS 1997,1.079340411801048
35-39,10,DHS 1997,0.4618227323986061
35-39,11,DHS 1997,0.2734725548906197
35-39,12,DHS 1997,0.0582411721599448
35-39,13,DHS 1997,0.0088480855162226
40-44,0,DHS 1997,0.2128809580021639
40-44,1,DHS 1997,0.293515473239785
40-44,2,DHS 1997,0.3533629528348019
40-44,3,DHS 1997,0.5012133520704121
40-44,4,DHS 1997,0.596883465821979
40-44,5,DHS 1997,0.7952742576305216
40-44,6,DHS 1997,0.9392876151464358
40-44,7,DHS 1997,1.174218881202994
40-44,8,DHS 1997,1.4207706754194158
40-44,9,DHS 1997,1.0723133200892534
40-44,10,DHS 1997,0.7233026655705052
40-44,11,DHS 1997,0.3708170431075256
40-44,12,DHS 1997,0.1043726389301971
40-44,13,DHS 1997,0.1082384831631279
40-44,14,DHS 1997,0.0296377046569836
40-44,15,DHS 1997,0.016751751170199
45-49,0,DHS 1997,0.1019972985730657
45-49,1,DHS 1997,0.1458220855227867
45-49,2,DHS 1997,0.2326854962781566
45-49,3,DHS 1997,0.1953425200058338
45-49,4,DHS 1997,0.412636535080253
45-49,5,DHS 1997,0.2480098065298167
45-49,6,DHS 1997,0.5296601106266177
45-49,7,DHS 1997,0.6701720018861245
45-49,8,DHS 1997,0.8483018141362111
45-49,9,DHS 1997,0.8299621193151357
45-49,10,DHS 1997,0.8986294521447157
45-49,11,DHS 1997,0.4886141436042764
45-49,12,DHS 1997,0.2297149272555969
45-49,13,DHS 1997,0.0940884891975338
45-49,14,DHS 1997,0.0283828460702719
45-49,15,DHS 1997,0.0160101941001588
45-49,16,DHS 1997,0.0136952866526146
15-19,0,DHS 2005,20.624179106075776
15-19,1,DHS 2005,2.799247339517867
15-19,2,DHS 2005,0.8152834856040252
15-19,3,DHS 2005,0.0972193463119692
15-19,4,DHS 2005,0.011478064607017
15-19,5,DHS 2005,0.0074020270927059
20-24,0,DHS 2005,8.811050700795391
20-24,1,DHS 2005,4.441510229050812
20-24,2,DHS 2005,3.756396479996643
20-24,3,DHS 2005,1.6886780379742543
20-24,4,DHS 2005,0.5712645575758786
20-24,5,DHS 2005,0.1753790638751479
20-24,6,DHS 2005,0.0229669428011746
20-24,7,DHS 2005,0.0064132447377138
25-29,0,DHS 2005,3.4862299969339685
25-29,1,DHS 2005,2.5403956215147945
25-29,2,DHS 2005,2.8521951957837044
25-29,3,DHS 2005,3.207731881248473
25-29,4,DHS 2005,2.392773001861596
25-29,5,DHS 2005,1.1089698562679493
25-29,6,DHS 2005,0.4782701324922396
25-29,7,DHS 2005,0.1494421032789733
25-29,8,DHS 2005,0.0581257976249371
25-29,9,DHS 2005,0.0182681207390624
30-34,0,DHS 2005,1.3000845453427967
30-34,1,DHS 2005,1.2720885243514113
30-34,2,DHS 2005,1.8936247363126888
30-34,3,DHS 2005,1.8029270787868008
30-34,4,DHS 2005,2.0965358230984523
30-34,5,DHS 2005,1.934109519072195
30-34,6,DHS 2005,1.5025967278703174
30-34,7,DHS 2005,0.9856445108725408
30-34,8,DHS 2005,0.3940464785040088
30-34,9,DHS 2005,0.1111760645190842
30-34,10,DHS 2005,0.0520502805945305
30-34,11,DHS 2005,0.0252532939776452
30-34,12,DHS 2005,0.0049489110901046
35-39,0,DHS 2005,0.8309210762882607
35-39,1,DHS 2005,0.7797599547098153
35-39,2,DHS 2005,0.5579032304089254
35-39,3,DHS 2005,1.1865089259769228
35-39,4,DHS 2005,1.148517363315202
35-39,5,DHS 2005,1.551632428281296
35-39,6,DHS 2005,1.7637231137188518
35-39,7,DHS 2005,1.351400522419927
35-39,8,DHS 2005,0.929260954030213
35-39,9,DHS 2005,0.5441051890948106
35-39,10,DHS 2005,0.3205931778529353
35-39,11,DHS 2005,0.0573028761103237
35-39,12,DHS 2005,0.0220169701981304
40-44,0,DHS 2005,0.3159596824581658
40-44,1,DHS 2005,0.3326046488407035
40-44,2,DHS 2005,0.5286155849872192
40-44,3,DHS 2005,0.6273869995033892
40-44,4,DHS 2005,0.7767870332030056
40-44,5,DHS 2005,0.939510365032595
40-44,6,DHS 2005,1.006446127013995
40-44,7,DHS 2005,1.2574738551810631
40-44,8,DHS 2005,1.0061985718854594
40-44,9,DHS 2005,0.8240108379898251
40-44,10,DHS 2005,0.50224821075064
40-44,11,DHS 2005,0.2368550600908561
40-44,12,DHS 2005,0.1369103542489899
40-44,13,DHS 2005,0.0483505476946597
40-44,14,DHS 2005,0.0109383919613933
45-49,0,DHS 2005,0.2098892404380133
45-49,1,DHS 2005,0.2516471638585605
45-49,2,DHS 2005,0.2705233314383141
45-49,3,DHS 2005,0.3449339666976099
45-49,4,DHS 2005,0.4174535733375538
45-49,5,DHS 2005,0.596354805396055
45-49,6,DHS 2005,0.7226684537528127
45-49,7,DHS 2005,0.8093355401386945
45-49,8,DHS 2005,1.1170436338033618
45-49,9,DHS 2005,0.7178589482230842
45-49,10,DHS 2005,0.5982560517937563
45-49,11,DHS 2005,0.5436332058065635
45-49,12,DHS 2005,0.2578361516459857
45-49,13,DHS 2005,0.0303921995883586
45-49,14,DHS 2005,0.0222748526790462
15-19,0,DHS 2010-11,18.46152453781432
15-19,1,DHS 2010-11,2.501554363365022
15-19,2,DHS 2010-11,0.7595778611402358
15-19,3,DHS 2010-11,0.0989188359332319
15-19,4,DHS 2010-11,0.0349171595701538
20-24,0,DHS 2010-11,9.514816752882362
20-24,1,DHS 2010-11,5.030348107115208
20-24,2,DHS 2010-11,3.4000456741075427
20-24,3,DHS 2010-11,1.7178037396329509
20-24,4,DHS 2010-11,0.5384407056201954
20-24,5,DHS 2010-11,0.2389812847692093
20-24,6,DHS 2010-11,0.07667763249255
20-24,7,DHS 2010-11,0.0056395780145874
25-29,0,DHS 2010-11,3.7091103091233366
25-29,1,DHS 2010-11,3.23363656543606
25-29,2,DHS 2010-11,3.181301545101687
25-29,3,DHS 2010-11,3.209436616459759
25-29,4,DHS 2010-11,2.1976632622542325
25-29,5,DHS 2010-11,1.2890731371435245
25-29,6,DHS 2010-11,0.516522245677338
25-29,7,DHS 2010-11,0.1127407125100667
25-29,8,DHS 2010-11,0.0294977434624899
25-29,9,DHS 2010-11,0.0247101096080129
30-34,0,DHS 2010-11,1.6206201726930276
30-34,1,DHS 2010-11,1.383884343046035
30-34,2,DHS 2010-11,1.8950437955121215
30-34,3,DHS 2010-11,1.9048982702579635
30-34,4,DHS 2010-11,1.906419802637559
30-34,5,DHS 2010-11,2.153466411211381
30-34,6,DHS 2010-11,1.5726776306807193
30-34,7,DHS 2010-11,0.8429566919928496
30-34,8,DHS 2010-11,0.2698000442933324
30-34,9,DHS 2010-11,0.1153319988404316
30-34,10,DHS 2010-11,0.0215624234822994
30-34,11,DHS 2010-11,0.0073190910161229
35-39,0,DHS 2010-11,0.7158443833757622
35-39,1,DHS 2010-11,0.8935220029973918
35-39,2,DHS 2010-11,1.0743857075208232
35-39,3,DHS 2010-11,1.2774409851943282
35-39,4,DHS 2010-11,1.568104581221699
35-39,5,DHS 2010-11,1.58469936702516
35-39,6,DHS 2010-11,1.5609889004552022
35-39,7,DHS 2010-11,1.1762200011251798
35-39,8,DHS 2010-11,0.9357928022832698
35-39,9,DHS 2010-11,0.4301636850986033
35-39,10,DHS 2010-11,0.2032026387136123
35-39,11,DHS 2010-11,0.1495683769223738
35-39,12,DHS 2010-11,0.0134645397593175
40-44,0,DHS 2010-11,0.525700101352097
40-44,1,DHS 2010-11,0.5028123272849673
40-44,2,DHS 2010-11,0.5899070301371601
40-44,3,DHS 2010-11,0.7412435036917627
40-44,4,DHS 2010-11,0.8198245018117882
40-44,5,DHS 2010-11,1.146050687036272
40-44,6,DHS 2010-11,1.0807756297466382
40-44,7,DHS 2010-11,1.0034547348887275
40-44,8,DHS 2010-11,0.8840155904642851
40-44,9,DHS 2010-11,0.7607800029031859
40-44,10,DHS 2010-11,0.4333729087051195
40-44,11,DHS 2010-11,0.2048504778243141
40-44,12,DHS 2010-11,0.0868717426280875
40-44,13,DHS 2010-11,0.0095715259955469
45-49,0,DHS 2010-11,0.2884687273405847
45-49,1,DHS 2010-11,0.2852221630915846
45-49,2,DHS 2010-11,0.3345535755764585
45-49,3,DHS 2010-11,0.4141321833332158
45-49,4,DHS 2010-11,0.5535108420119387
45-49,5,DHS 2010-11,0.5286452823786167
45-49,6,DHS 2010-11,0.6795955817878432
45-49,7,DHS 2010-11,0.8693683314305203
45-49,8,DHS 2010-11,0.70813092724028
45-49,9,DHS 2010-11,0.5568272622017009
45-49,10,DHS 2010-11,0.5254809019642952
45-49,11,DHS 2010-11,0.1812563422078104
45-49,12,DHS 2010-11,0.0963614736211838
45-49,13,DHS 2010-11,0.0130537480719007
45-49,14,DHS 2010-11,0.008471424008098
45-49,15,DHS 2010-11,0.0044281935183493
45-49,17,DHS 2010-11,0.0029451491550256
15-19,0,DHS 2012-13,20.462105266389045
15-19,1,DHS 2012-13,2.456354970099873
15-19,2,DHS 2012-13,0.3781746699329413
15-19,3,DHS 2012-13,0.0391474878564521
20-24,0,DHS 2012-13,9.950287587249615
20-24,1,DHS 2012-13,4.70795171569496
20-24,2,DHS 2012-13,3.8222818087909816
20-24,3,DHS 2012-13,1.7002077029559064
20-24,4,DHS 2012-13,0.3582967400343761
20-24,5,DHS 2012-13,0.0826544940745413
25-29,0,DHS 2012-13,3.823783094131032
25-29,1,DHS 2012-13,3.011514543134368
25-29,2,DHS 2012-13,3.394055227492037
25-29,3,DHS 2012-13,3.587699961786556
