age,parity,dataset,percentage
20-24,5,DHS 2016,0.0422744401109076
20-24,6,DHS 2016,0.0065603611728752
25-29,0,DHS 2016,3.5577994557063795
25-29,1,DHS 2016,3.1400922121133967
25-29,2,DHS 2016,3.342301603586084
25-29,3,DHS 2016,3.490221664559587
25-29,4,DHS 2016,2.135728785695396
25-29,5,DHS 2016,0.8799834451342881
25-29,6,DHS 2016,0.556673542304405
25-29,7,DHS 2016,0.0719497822576695
25-29,8,DHS 2016,0.0176114162239738
30-34,0,DHS 2016,2.201883655196404
30-34,1,DHS 2016,1.7408879951498375
30-34,2,DHS 2016,1.8157396274689968
30-34,3,DHS 2016,2.55649106604383
30-34,4,DHS 2016,2.4210433799623106
30-34,5,DHS 2016,1.798622886951232
30-34,6,DHS 2016,1.2393767106135611
30-34,7,DHS 2016,0.7190563899629386
30-34,8,DHS 2016,0.2871532745267904
30-34,9,DHS 2016,0.083428406413918
30-34,10,DHS 2016,0.0065603611728752
35-39,0,DHS 2016,0.916146311452238
35-39,1,DHS 2016,0.5266665250204883
35-39,2,DHS 2016,1.0459696318776852
35-39,3,DHS 2016,1.5759497723418203
35-39,4,DHS 2016,1.6541671464457754
35-39,5,DHS 2016,1.666925364550203
35-39,6,DHS 2016,1.552059506515996
35-39,7,DHS 2016,1.0446245444136633
35-39,8,DHS 2016,0.8469040532489239
35-39,9,DHS 2016,0.2344576270999875
35-39,10,DHS 2016,0.1162228236711848
35-39,11,DHS 2016,0.069459528373594
35-39,12,DHS 2016,0.0079616133312444
40-44,0,DHS 2016,0.6086522692352759
40-44,1,DHS 2016,0.494827189575031
40-44,2,DHS 2016,0.9489354044002596
40-44,3,DHS 2016,1.1226095891252146
40-44,4,DHS 2016,1.0286916618005093
40-44,5,DHS 2016,0.8789928303264564
40-44,6,DHS 2016,1.142177226503842
40-44,7,DHS 2016,1.074130264445763
40-44,8,DHS 2016,0.7807548464666473
40-44,9,DHS 2016,0.5941601875690797
40-44,10,DHS 2016,0.2927637315529907
40-44,11,DHS 2016,0.0612600018934281
40-44,12,DHS 2016,0.0501781741397427
40-44,13,DHS 2016,0.0084041062947236
45-49,0,DHS 2016,0.4209183322427099
45-49,1,DHS 2016,0.2397458167727415
45-49,2,DHS 2016,0.1821693570123411
45-49,3,DHS 2016,0.489357251447703
45-49,4,DHS 2016,0.5568592388696482
45-49,5,DHS 2016,0.7083820636318878
45-49,6,DHS 2016,0.8238771038626426
45-49,7,DHS 2016,0.8407477868431916
45-49,8,DHS 2016,0.6864297786894258
45-49,9,DHS 2016,0.5519178625183863
45-49,10,DHS 2016,0.4001985910495673
45-49,11,DHS 2016,0.3035670370194436
45-49,12,DHS 2016,0.0455899168067272
45-49,13,DHS 2016,0.0234714164050951
45-49,14,DHS 2016,0.006160079152607
15-19,0,DHS 2017,19.40196922138166
15-19,1,DHS 2017,2.3722620516658024
15-19,2,DHS 2017,0.3847167526157585
15-19,3,DHS 2017,0.0465142552667522
20-24,0,DHS 2017,9.307404767552482
20-24,1,DHS 2017,4.581973986511838
20-24,2,DHS 2017,2.900709656117725
20-24,3,DHS 2017,1.1570955131162504
20-24,4,DHS 2017,0.2997067862262502
20-24,5,DHS 2017,0.0832989340361188
20-24,6,DHS 2017,0.0159383690405557
25-29,0,DHS 2017,4.029527364866138
25-29,1,DHS 2017,3.163483440466842
25-29,2,DHS 2017,3.257162579465483
25-29,3,DHS 2017,3.03000514719964
25-29,4,DHS 2017,2.067531044295712
25-29,5,DHS 2017,0.8128987165828984
25-29,6,DHS 2017,0.296459177944792
25-29,7,DHS 2017,0.0477381308897476
25-29,8,DHS 2017,0.0215809019757849
30-34,0,DHS 2017,2.038297166772157
30-34,1,DHS 2017,1.9254416709912447
30-34,2,DHS 2017,2.0008524355786004
30-34,3,DHS 2017,2.4008538907045964
30-34,4,DHS 2017,2.5114814541478965
30-34,5,DHS 2017,2.18823581037708
30-34,6,DHS 2017,1.358854619193549
30-34,7,DHS 2017,0.686307180953648
30-34,8,DHS 2017,0.2057429030791992
30-34,9,DHS 2017,0.0642390245051679
30-34,10,DHS 2017,0.0383019600050356
30-34,11,DHS 2017,0.0098054804710057
35-39,0,DHS 2017,0.7734349944953584
35-39,1,DHS 2017,0.7882032914515888
35-39,2,DHS 2017,1.0607077602983337
35-39,3,DHS 2017,1.5964230004501558
35-39,4,DHS 2017,1.563652791227044
35-39,5,DHS 2017,1.5832909577449088
35-39,6,DHS 2017,1.3678516466917203
35-39,7,DHS 2017,1.3154188413324883
35-39,8,DHS 2017,0.7375192202389531
35-39,9,DHS 2017,0.2447668145972564
35-39,10,DHS 2017,0.1081965811257144
35-39,11,DHS 2017,0.0260493716430188
35-39,12,DHS 2017,0.0231046525031939
40-44,0,DHS 2017,0.5582791944935358
40-44,1,DHS 2017,0.4740248008717273
40-44,2,DHS 2017,0.6886032850911433
40-44,3,DHS 2017,1.01646818783105
40-44,4,DHS 2017,1.0556265128839342
40-44,5,DHS 2017,1.2392663182385244
40-44,6,DHS 2017,1.213051830731371
40-44,7,DHS 2017,1.0414914559374169
40-44,8,DHS 2017,0.9733074144388456
40-44,9,DHS 2017,0.6667152466394612
40-44,10,DHS 2017,0.2765227627809345
40-44,11,DHS 2017,0.1748638894317474
40-44,12,DHS 2017,0.0501362365764737
40-44,13,DHS 2017,0.0166736701694054
40-44,14,DHS 2017,0.0031422946454801
45-49,0,DHS 2017,0.3089738560201479
45-49,1,DHS 2017,0.3081194806071439
45-49,2,DHS 2017,0.3099848288007963
45-49,3,DHS 2017,0.5416372750837752
45-49,4,DHS 2017,0.6648042678981766
45-49,5,DHS 2017,0.7949158607287948
45-49,6,DHS 2017,0.9274708859872532
45-49,7,DHS 2017,0.925704030675396
45-49,8,DHS 2017,0.610571849736039
45-49,9,DHS 2017,0.5535611447931231
45-49,10,DHS 2017,0.4096326280964448
45-49,11,DHS 2017,0.1797375535963634
45-49,12,DHS 2017,0.0670791746328339
45-49,13,DHS 2017,0.0388642641712497
45-49,14,DHS 2017,0.0157594806142636
