age,male,female
0,3990198,3889809
5,4421456,4259097
10,4049838,3663254
15,3055095,2981100
20,2077725,2206202
25,1777728,2036874
30,1387073,1623003
35,1289822,1475293
40,1137969,1169073
45,885661,773165
50,794315,797483
55,485335,398477
60,571415,516933
65,321565,237648
70,294657,248062
75,136776,94424
80,211199,157797
