,age,probs
0,10.0,0.00671240845335203
1,11.0,0.00918135820646243
2,12.0,0.0309770814788788
3,13.0,0.059400507503726
4,14.0,0.130291755291
5,15.0,0.196183864268175
6,16.0,0.130556610013873
7,17.0,0.103290455840828
8,18.0,0.110776245328648
9,19.0,0.0530816775521274
10,20.0,0.0588590881799291
11,21.0,0.026991174849838
12,22.0,0.0271788262050103
13,23.0,0.0188626403851833
14,24.0,0.0112214052863469
15,25.0,0.0109271507351524
16,26.0,0.00443999952806908
17,27.0,0.00359275321149036
18,28.0,0.00303477463739577
19,29.0,0.0017573689141809
20,30.0,0.00121215246872525
21,31.0,0.000711491329468429
22,32.0,0.000137332034070925
23,33.0,0.000279848072025066
24,34.0,7.17053090713206e-06
25,35.0,9.65008015799441e-05
26,36.0,8.46224502635213e-06
27,37.0,3.97705796721265e-05
28,43.0,0.00019012606885453
