,year,probs
0,2000,953
1,2001,955
2,2002,960
3,2003,906
4,2004,900
5,2005,880
6,2006,814
7,2007,780
8,2008,725
9,2009,684
10,2010,635
11,2011,603
12,2012,543
13,2013,498
14,2014,447
15,2015,399
16,2016,365
17,2017,348
18,2018,312
19,2019,294
20,2020,267
