,month,rate
0,0.0,0.9892715
1,1.0,0.8494371
2,2.0,0.8265375
3,3.0,0.730395
4,4.0,0.666934
5,5.0,0.4947101
6,6.0,0.3667066
7,7.0,0.2191162
8,8.0,0.3135374
9,9.0,0.1113177
10,10.0,0.0981782
11,11.0,0.0847675
