,month,probs
0,0.0,0.19253
1,1.0,0.31858
2,2.0,0.49293
3,3.0,0.64756
4,4.0,0.78684
5,5.0,0.67009
6,6.0,0.75804
7,7.0,0.79867
8,8.0,0.84857
9,9.0,0.80293
10,10.0,0.89259
11,11.0,0.8227
12,12.0,0.85876
13,13.0,0.83104
14,14.0,0.77563
15,15.0,0.79917
16,16.0,0.79582
17,17.0,0.84817
18,18.0,0.77804
19,19.0,0.80811
20,20.0,0.82049
21,21.0,0.77607
22,22.0,0.79261
23,23.0,0.8373
