age,country,region,probs
10.0,PK7,2,0.0010834692767716942
11.0,PK7,2,0.0001596704974385412
12.0,PK7,2,0.0037239128071723418
13.0,PK7,2,0.02485954103741148
14.0,PK7,2,0.07033783907955442
15.0,PK7,2,0.09012672102261536
16.0,PK7,2,0.10806938035046003
17.0,PK7,2,0.08647836765615076
18.0,PK7,2,0.10413450899398181
19.0,PK7,2,0.09451090686700894
20.0,PK7,2,0.08743723086428902
21.0,PK7,2,0.06609271696723049
22.0,PK7,2,0.06468440834107801
23.0,PK7,2,0.03961514744535008
24.0,PK7,2,0.047824685344182584
25.0,PK7,2,0.029469231090927958
26.0,PK7,2,0.02348870857958152
27.0,PK7,2,0.01798585242232642
28.0,PK7,2,0.009382845448393608
29.0,PK7,2,0.01010438844951742
30.0,PK7,2,0.006696607607915798
31.0,PK7,2,0.005437281467175523
32.0,PK7,2,0.0022328020704535023
33.0,PK7,2,0.002028287836744936
34.0,PK7,2,0.0007217817977539745
35.0,PK7,2,0.001525043276593467
36.0,PK7,2,0.000638608541162124
37.0,PK7,2,0.000631855528583762
38.0,PK7,2,0.00029997575909055117
41.0,PK7,2,0.00021822357308383833
