year,probs
1985,432
1986,436
1987,442
1988,441
1989,439
1990,434
1991,443
1992,459
1993,473
1994,479
1995,485
1996,482
1997,476
1998,456
1999,438
2000,419
2001,400
2002,380
2003,358
2004,333
2005,316
2006,284
2007,265
2008,254
2009,246
2010,240
2011,234
2012,227
2013,220
2014,211
2015,202
2016,193
2017,184
2018,178
2019,173
2020,178
2021,193
2022,160
2023,155
