"month","probs"
0,0.174570137969718
1,0.230557791648141
2,0.729699557364239
3,0.921170856159033
4,0.80731500510825
5,0.870167991098646
6,0.834190036380788
7,0.910057242327732
8,0.921495431321476
9,0.890578267372273
10,0.91111712466334
11,0.720703372682168
12,0.932001717772824
13,0.70926845124247
14,0.899770855359721
15,0.875717916287836
16,0.864241068650428
17,0.873122637614547
18,0.916451986220658
19,0.844741465039021
20,0.949430104119308
21,0.960565838487711
22,0.883631977391247
23,0.896532731632397
