rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.823880228020101,0.5478704485260728,-5.15428462260949,1.4255727285962141e-6
"age_grp(18,20]",0.19703744575633753,0.6992756589102956,0.28177363711384934,0.7787431379914791
"age_grp(20,25]",1.2692432061145074,0.5616026011983694,2.260037975974732,0.0261526593180195
"age_grp(25,35]",1.500117216989213,0.5662682119762541,2.649128425828217,0.009482337897306549
"age_grp(35,50]",0.2983900287893526,0.5530347095145536,0.5395502735285375,0.5907967214079317
prior_userTRUE,3.0194870878689204,1.5423944817138537,1.9576620142687324,0.053267381520473105
"age_grp(18,20]:prior_userTRUE",-13.851903455977112,1.7784176365392463,-7.788892311556553,9.33412262438324e-12
"age_grp(20,25]:prior_userTRUE",-0.6668277340185158,1.5538464740179898,-0.4291464730709268,0.6688091480633418
"age_grp(25,35]:prior_userTRUE",0.33504417455831764,1.5622067990494877,0.21446851643596265,0.8306512763541628
"age_grp(35,50]:prior_userTRUE",2.43806483601872,1.5816834849829595,1.5414366143204603,0.12660644230194668
