"age_partner","percent"
"10",0.00148354394869026
"11",0.0017757016309064
"12",0.0106792414381197
"13",0.0309709013219015
"14",0.07501665519489
"15",0.093651999331796
"16",0.106654138285676
"17",0.0892435156079424
"18",0.109774116705467
"19",0.0904371039666337
"20",0.0784327832687531
"21",0.0623050229679973
"22",0.063249249729781
"23",0.0451915203102866
"24",0.0378551492282189
"25",0.0310656533822415
"26",0.0199616095164354
"27",0.015099980680456
"28",0.0103159077993187
"29",0.0102515542240223
"30",0.0055073161631936
"31",0.00439565040612281
"32",0.00188192372550496
"33",0.00130769581680199
"34",0.00080062908957897
"35",0.00155436206967506
"36",0.00063285260620638
"37",0.000288461100139914
"41",0.000215760483243478
