"age","edu","se"
0,0.160165428806833,NA
1,0.229406022853112,NA
2,0.298646616899392,NA
3,0.367887210945671,NA
4,0.43712780499195,NA
5,0.506368399038229,NA
6,0.575608993084509,NA
7,0.644849587130788,NA
8,0.714090181177067,NA
9,0.783330775223347,NA
10,0.852571369269626,NA
11,0.921811963315905,NA
12,0.991052557362184,NA
13,1.06029315140846,NA
14,1.12953374545474,NA
49,3.34615471484688,NA
50,3.34615471484688,NA
51,3.34615471484688,NA
52,3.34615471484688,NA
53,3.34615471484688,NA
54,3.34615471484688,NA
55,3.34615471484688,NA
56,3.34615471484688,NA
57,3.34615471484688,NA
58,3.34615471484688,NA
59,3.34615471484688,NA
60,3.34615471484688,NA
61,3.34615471484688,NA
62,3.34615471484688,NA
63,3.34615471484688,NA
64,3.34615471484688,NA
65,3.34615471484688,NA
66,3.34615471484688,NA
67,3.34615471484688,NA
68,3.34615471484688,NA
69,3.34615471484688,NA
70,3.34615471484688,NA
71,3.34615471484688,NA
72,3.34615471484688,NA
73,3.34615471484688,NA
74,3.34615471484688,NA
75,3.34615471484688,NA
76,3.34615471484688,NA
77,3.34615471484688,NA
78,3.34615471484688,NA
79,3.34615471484688,NA
80,3.34615471484688,NA
81,3.34615471484688,NA
82,3.34615471484688,NA
83,3.34615471484688,NA
84,3.34615471484688,NA
85,3.34615471484688,NA
86,3.34615471484688,NA
87,3.34615471484688,NA
88,3.34615471484688,NA
89,3.34615471484688,NA
90,3.34615471484688,NA
91,3.34615471484688,NA
92,3.34615471484688,NA
93,3.34615471484688,NA
94,3.34615471484688,NA
95,3.34615471484688,NA
96,3.34615471484688,NA
97,3.34615471484688,NA
98,3.34615471484688,NA
99,3.34615471484688,NA
15,2.86831762544997,1.69434495741138
16,1.19877433950102,0.795145671800031
17,1.22285350070156,0.742268406793084
18,3.34260179755146,0.697931134745102
19,3.14528000163509,0.609261327730076
20,2.39615651075117,0.463564928835131
21,4.51195437181971,0.826001936810241
22,3.76244844799399,0.527797573528718
23,3.7075515421134,0.697470785456947
24,3.9624300152981,0.623667042019515
25,4.03932676389616,0.572560953269241
26,2.96069065983404,0.591552890888501
27,5.00010742502615,0.83424130570624
28,4.30984187447215,0.530685213956043
29,4.59108490002009,0.634750748660515
30,4.30852320081388,0.546322091002993
31,6.31020166303108,0.706801183416788
32,3.78448799688881,0.665769047558057
33,4.55650980733907,0.741920111932378
34,5.34207032239646,0.757785983309474
35,3.93761919951133,0.43040204408763
36,4.89067216894045,0.703500449621605
37,4.17306243895381,0.758019166254926
38,4.07595995997405,0.600634122731389
39,5.19215542029067,0.806945399371843
40,4.37653048994399,0.934198761033844
41,3.91354332126036,0.765653367852493
42,4.1787289749373,0.69095547755679
43,3.63228630304236,0.731897779421712
44,2.71696374382258,0.801891526294408
45,3.92399866941099,0.57272069515985
46,2.74456712169373,0.571930602901583
47,3.24592741503314,0.602035588861941
48,3.01475725741671,0.659758009025795
49,4.43071408170414,1.52013075289728
