age,male,female
0,16191207,15469900
5,15453727,14791031
10,15080215,14355249
15,13158973,12442500
20,11880671,11213370
25,10237956,9626008
30,8920703,8436763
35,7535259,7277593
40,6159845,6005413
45,4994632,4909762
50,4165951,4153198
55,3543426,3595944
60,2869787,3004406
65,2053518,2243483
70,1276758,1478404
75,849623,1000631
80,407539,498329
85,137790,179548
90,26885,40794
95,1939,4488
100,51,132
