,year,probs
0,2000,708
1,2001,702
2,2002,692
3,2003,678
4,2004,653
5,2005,618
6,2006,583
7,2007,545
8,2008,513
9,2009,472
10,2010,432
11,2011,398
12,2012,373
13,2013,364
14,2014,358
15,2015,353
16,2016,346
17,2017,342
