"age","paid_employment","paid_employment.se","decision_wages","decision_wages.se","sexual_autonomy","sexual_autonomy.se","decision_purchase","decision_purchase.se","decision_health","decision_health.se","buy_decision_major","buy_decision_major.se","buy_decision_daily","buy_decision_daily.se","decide_spending_partner","decide_spending_partner.se","buy_decision_clothes","buy_decision_clothes.se","has_savings","has_savings.se","has_fin_knowl","has_fin_knowl.se","has_fin_goals","has_fin_goals.se"
15,0.0422685451080795,0.00698519860821614,0.000807314869731783,0.000806813664315043,0.385137159184773,0.199524486811776,0.563219908787881,0.141444047987719,0.465480160067761,0.140441231252714,0.541696185001522,0.1618441377794,0.764443231772679,0.134812935754203,0.373526727601231,0.158660142199254,0.596273774372388,0.16289894316974,0.0727190294106548,0.0120457400994599,0.181620313579698,0.0227060798922028,0.386262341661555,0.0284877531726954
16,0.072561018789043,0.00871100079939171,0.00601090917458969,0.00268972185011294,0.720453216875624,0.136863417543301,0.589367148557743,0.0981547637033143,0.585764615475211,0.104340897544625,0.525961443847102,0.137328811487743,0.699131985431896,0.124516285633645,0.50744279503921,0.134437782588808,0.583043936178752,0.134763075817809,0.0726104591755902,0.0100106302534065,0.202692171321741,0.0262106118600537,0.453367595026557,0.0315780007839953
17,0.106134366769172,0.0119042798054698,0.00729086996172348,0.00337540081721249,0.633832355551001,0.114784855885507,0.55247153896202,0.0862895004252593,0.655031410140515,0.08160832685871,0.506753324916167,0.103748003648119,0.587815049878799,0.102518497422647,0.560459204071326,0.104401314108277,0.403255599274621,0.0944069721926782,0.0982633383646866,0.0117141348376829,0.266106971980603,0.0274374957641362,0.481955275997938,0.0304102833359343
18,0.143965287615979,0.0138856929316643,0.0271284482724972,0.00673834849926781,0.641248878071965,0.0682155156884112,0.612168332668608,0.0467087486529784,0.69299438745009,0.0448582394393792,0.514338185425136,0.0595966019166783,0.659800927946024,0.0571035574857555,0.465170619598164,0.0590237441910983,0.639081994904138,0.0586347118801152,0.124856981569942,0.012254779159996,0.290669301586453,0.0257980004253604,0.547418318881,0.032546355722106
19,0.204291755222522,0.0159022428281434,0.0472587526941152,0.00744611595789326,0.717644594829184,0.0477343468814099,0.698131580062409,0.0365561916017005,0.777891376729296,0.0309080511347515,0.575695301526244,0.0434448728672489,0.608904609966603,0.0451416016083746,0.528013409292465,0.047391066809049,0.641775985855685,0.0421919311684604,0.188302280797655,0.0172113645199479,0.325206872600083,0.0279572034655895,0.612524480649047,0.0279216747896431
20,0.298594213060745,0.0198798765916925,0.0854810978119267,0.011243559201563,0.701367590283663,0.0439910509883525,0.668076651215843,0.0386073802550797,0.746319408476645,0.0356786788282047,0.551506605440049,0.0352797559205573,0.679316943875137,0.0319737751686932,0.524563151867643,0.039289091408447,0.663399938714809,0.0341770503294351,0.221411273416729,0.0167985124510325,0.355074310458982,0.0218514163304885,0.644602995642407,0.0258367504184053
21,0.391163517052487,0.0221185789332612,0.173499237956099,0.0180915776876866,0.823504202969181,0.027969076802972,0.708703448604167,0.0286927326338122,0.790401165854357,0.0260275927726391,0.642275075495951,0.0280455452631122,0.705657611993283,0.0276331250206281,0.558500951806126,0.0330988735210634,0.710338261978616,0.0299884921024591,0.313089361467399,0.019180251025045,0.414946726946824,0.0266421285633272,0.725326262450397,0.0253333665527822
22,0.428824873969106,0.0196383286812325,0.250209366685755,0.0199213370507257,0.784920075388277,0.0290639675685014,0.743235279655451,0.024835199124262,0.812079588778628,0.0209578027645196,0.649816922807221,0.0273460450388416,0.760443885618435,0.0260318111061281,0.575918096674093,0.0291617717880583,0.768575731418254,0.0230488744015724,0.375882500084646,0.0211602306352118,0.530751154570446,0.0295317864220389,0.75956133571256,0.023431901926652
23,0.552115032316912,0.0250940289774905,0.342924435380401,0.0242360713599607,0.777805017421941,0.0273435239838852,0.784077867820646,0.0214149188600342,0.813075242175287,0.0216341852768781,0.615328573372311,0.0293398092688889,0.740288103329179,0.0258978032992944,0.587396795988578,0.0301000821391541,0.775772165654044,0.0227762923264743,0.441099577687325,0.0243169252883306,0.494818135284529,0.0264630994914388,0.79594450001759,0.0201180854263675
24,0.553270937589467,0.0208324651548403,0.372746390053305,0.0242443785969395,0.809276999421353,0.0262894000411318,0.724816045358541,0.0230034530462283,0.82276165811762,0.0173418770011256,0.639911530581782,0.0298381670128437,0.725712366573316,0.0242334105975219,0.552289627982117,0.0261787224265625,0.783506669855843,0.0228102780245116,0.453828657696355,0.0256680521966066,0.489523504458645,0.0305285300057731,0.807915245709606,0.0195392711154455
25,0.576965083638872,0.0196585326189423,0.426174226831181,0.0228367444916593,0.797721484242287,0.0258517700857423,0.762093977104519,0.0249086707930999,0.847497146035386,0.0184521131126856,0.687722317945446,0.0238725201566984,0.757195530023819,0.0202938486389596,0.529039290102983,0.0236698015344795,0.790239346879111,0.0191478621066781,0.470854896601532,0.0229452313743788,0.524636023730885,0.0268002541087386,0.797445218262839,0.0231365703995383
26,0.569012101685471,0.0227492042707914,0.432528781151049,0.0258348616830918,0.803700364541004,0.0296705520185298,0.791672508043904,0.018878164377393,0.842347441953693,0.0189430886362526,0.652423491793287,0.0258219195499536,0.75803675243897,0.0238657796467724,0.530724242354892,0.0247629433827032,0.815753417120077,0.019609061373643,0.457552717243921,0.02443814732756,0.492284121479002,0.0295527238344631,0.780649070125947,0.023658406120032
27,0.615635121676162,0.020178292264037,0.46992932279208,0.0246201584888166,0.82506742766948,0.0231972398565951,0.768855252630152,0.0210907068034744,0.837956438584025,0.0182953590461972,0.694170083661678,0.0217331913090099,0.755308598863449,0.0240789161699099,0.521631336195161,0.02701685268056,0.793837997644075,0.0222635038254214,0.480466022030938,0.0247981858043417,0.524396712318635,0.0275897505913216,0.788114611845949,0.0219836789406543
28,0.641776138661655,0.0197225714389817,0.507875651755689,0.022931245687691,0.813355915561756,0.0234254538970497,0.786191579363223,0.0183720536168413,0.871539792781262,0.0150935178297066,0.677680610059814,0.0266924181766712,0.753442182584968,0.025431083097404,0.548818083160044,0.0275655446674362,0.811101609867827,0.0228372585594873,0.421914929975529,0.0225951932183983,0.498116745659164,0.0287477260689232,0.765315721937999,0.0236154342787918
29,0.621554755065255,0.0238484517944276,0.50546063976619,0.0266060732698151,0.801993841385204,0.0239578622877476,0.789558134410575,0.0189877668529877,0.887765587953372,0.0125539023039297,0.727115131197614,0.0248725398108565,0.805305693540008,0.0192444188497708,0.521631164978756,0.0267691405715628,0.843952788369129,0.016374899563461,0.457177440895041,0.0237736672013011,0.518741988778323,0.028842372322913,0.814705687196022,0.0215193921902177
30,0.621424115386627,0.022153088511481,0.484820577869504,0.0272691074303756,0.807543267466846,0.0225645429015502,0.825045674130746,0.01777536395408,0.870266122058295,0.0142920839189151,0.693018753948108,0.0241845834919163,0.81594244777064,0.0188557994100159,0.494486403126341,0.0258976866279862,0.845480252086255,0.0177116174136087,0.475864375843154,0.0239844891225627,0.545204703524653,0.0266806915535373,0.812842044710464,0.0197932807184153
31,0.634854388243053,0.023586876623139,0.536889341199774,0.0272284724622788,0.806469765418124,0.0246129486481641,0.78134913266072,0.0230865252054333,0.882948312894031,0.0173126031196834,0.713945484088237,0.0222213672225157,0.823517679346723,0.0193875478079249,0.528804081603916,0.0271775451760315,0.843110951503568,0.0175644185832771,0.506782148742698,0.0230956709687496,0.547140224119713,0.0309087606995528,0.797930467129918,0.0272672145866391
32,0.618318625482598,0.0218460449900869,0.50256287647397,0.0255149578359933,0.796251969341011,0.0225717244858341,0.796383999286546,0.0206306953331644,0.874178752869876,0.014192243518512,0.720238687268476,0.0231221208999264,0.84513466864148,0.0164270193851628,0.540606441782873,0.023475832312352,0.857985274156409,0.0159564859905391,0.498182337208806,0.0228553679282659,0.506179856137416,0.0256793854729858,0.81499454415233,0.0213266132536114
33,0.606082550272804,0.0245682589216409,0.503587480808768,0.0293301554606317,0.78249792727139,0.033319932322274,0.766431087466937,0.0233630017890939,0.853271452037666,0.0188143493575078,0.733416830907417,0.0214056188792494,0.828302690575758,0.01995294836058,0.532810273634687,0.0267866780217556,0.88013764562105,0.017689363079072,0.487734319148081,0.0235982523938933,0.500018619848375,0.0278929853138864,0.783335844091386,0.0234475388351479
