"Estimate","Std. Error","t value","Pr(>|t|)","rhs"
-2.75986916383499,0.124923786633107,-22.0924232143278,8.57391365025778e-94,"(Intercept)"
1.63214317683333,0.173891065904887,9.38600938662403,2.24306586595536e-20,"age_grp(18,20]"
2.57501235066574,0.148318901326312,17.3613229847255,1.22990184836271e-61,"age_grp(20,25]"
2.72981609564394,0.135388377935913,20.1628539854146,3.84355566333531e-80,"age_grp(25,35]"
1.51097222424266,0.143957534276797,10.495957935327,6.50017907303905e-25,"age_grp(35,50]"
1.32798567312003,0.379446829237757,3.49979383353321,0.000479323535279662,"prior_userTRUE"
-0.0798671306199025,0.458533799497731,-0.174179375015293,0.861748139913728,"age_grp(18,20]:prior_userTRUE"
-0.506896217719583,0.426195989863888,-1.18935004029829,0.234491318611832,"age_grp(20,25]:prior_userTRUE"
-0.229314421089194,0.387917068813977,-0.591142900183031,0.55451428004312,"age_grp(25,35]:prior_userTRUE"
1.24898345385464,0.385618045881741,3.23891339420789,0.00122627958012912,"age_grp(35,50]:prior_userTRUE"
