"intent_contra","age","freq"
"0","15",0.352359277178589
"1","15",0.647640722821411
"0","16",0.316125112350629
"1","16",0.683874887649371
"0","17",0.246891433970253
"1","17",0.753108566029747
"0","18",0.200522448924386
"1","18",0.799477551075614
"0","19",0.164164340662892
"1","19",0.835835659337108
"0","20",0.136667064829416
"1","20",0.863332935170584
"0","21",0.0865769523040835
"1","21",0.913423047695917
"0","22",0.0775135293607539
"1","22",0.922486470639246
"0","23",0.0794419558605471
"1","23",0.920558044139453
"0","24",0.0786605347997762
"1","24",0.921339465200224
"0","25",0.0769206015380142
"1","25",0.923079398461986
"0","26",0.106386641189768
"1","26",0.893613358810232
"0","27",0.0915463154495009
"1","27",0.908453684550499
"0","28",0.110693466729773
"1","28",0.889306533270227
"0","29",0.11748257443645
"1","29",0.88251742556355
"0","30",0.101081891167621
"1","30",0.898918108832379
"0","31",0.111877610671213
"1","31",0.888122389328787
"0","32",0.123504044792825
"1","32",0.876495955207175
"0","33",0.10940597364936
"1","33",0.89059402635064
"0","34",0.125306164496433
"1","34",0.874693835503567
"0","35",0.150988256648971
"1","35",0.849011743351029
"0","36",0.15063160303038
"1","36",0.849368396969621
"0","37",0.161160695940042
"1","37",0.838839304059958
"0","38",0.175679968226921
"1","38",0.824320031773079
"0","39",0.213166345399407
"1","39",0.786833654600593
"0","40",0.28668630857339
"1","40",0.71331369142661
"0","41",0.289235364654061
"1","41",0.710764635345939
"0","42",0.322142557469981
"1","42",0.677857442530019
"0","43",0.335848141119015
"1","43",0.664151858880985
"0","44",0.388414143945357
"1","44",0.611585856054643
"0","45",0.418235502188181
"1","45",0.581764497811819
"0","46",0.426484598611627
"1","46",0.573515401388373
"0","47",0.55282941482486
"1","47",0.44717058517514
"0","48",0.581172938417832
"1","48",0.418827061582167
"0","49",0.710853290680702
"1","49",0.289146709319297
