,month,probs
0,0.0,0.08453
1,1.0,0.0887
2,2.0,0.40634
3,3.0,0.5803
4,4.0,0.52688
5,5.0,0.60641
6,6.0,0.58103
7,7.0,0.72973
8,8.0,0.62647
9,9.0,0.73497
10,10.0,0.60254
11,11.0,0.75723
12,12.0,0.73159
13,13.0,0.68409
14,14.0,0.74925
15,15.0,0.74059
16,16.0,0.70051
17,17.0,0.78479
18,18.0,0.74965
19,19.0,0.79351
20,20.0,0.77338
21,21.0,0.7034
22,22.0,0.72395
23,23.0,0.72202
