age,male,female
0,2625502,2604907
5,2275724,2270780
10,2109572,2111215
15,1809238,1809320
20,1481057,1480721
25,1210182,1213708
30,979087,987938
35,748578,762232
40,539272,555873
45,355876,375786
50,309561,300548
55,194539,248280
60,144684,222705
65,114848,169600
70,79589,106710
75,50004,63120
80,26103,32607
