,month,weights
0,0.0,0.3
1,3.0,0.3
2,6.0,0.3
3,9.0,0.3
4,12.0,0.2
5,15.0,0.2
6,18.0,0.2
7,21.0,0.2
8,24.0,0.2
9,27.0,0.01
10,30.0,0.01
11,33.0,0.01
12,36.0,0.01
13,39.0,0.01
14,42.0,0.01
15,45.0,0.25
16,48.0,1.5
17,51.0,1.5
18,54.0,1.5
