"Estimate","Std. Error","t value","Pr(>|t|)","rhs"
-3.04893593911711,1.34535155599344,-2.26627451058003,0.0266692509722052,"(Intercept)"
-0.313291200702152,3.39089377476201,-0.0923919242277474,0.92666236167805,"ns(age, knots = c(25, 40))1"
3.84624559365059,2.72866610867561,1.40956989256462,0.163291714780959,"ns(age, knots = c(25, 40))2"
0.369863528339545,2.37776076316583,0.155551195086211,0.87685449787048,"ns(age, knots = c(25, 40))3"
-0.0466461900325955,2.10471353183021,-0.0221627263412105,0.982384023545157,"fp_ever_user"
0.0896453860920563,0.0728634076316586,1.2303210761873,0.222879135142375,"edu_attainment"
0.0289836596913654,0.239823465927491,0.120854144023289,0.904168271886884,"parity"
0.656114830627335,0.770370070736069,0.851687851788471,0.397421341323948,"urban"
-0.302391306780473,0.244787539330986,-1.23532148575422,0.221025128096784,"wealthquintile"
-3.35731033231069,3.98586219474511,-0.842304667917749,0.402614155614048,"ns(age, knots = c(25, 40))1:fp_ever_user"
-0.219078350688249,4.7684608520391,-0.0459432000148572,0.963492186681393,"ns(age, knots = c(25, 40))2:fp_ever_user"
-2.37071377866546,2.40218541035527,-0.986898749965701,0.327242946342817,"ns(age, knots = c(25, 40))3:fp_ever_user"
