"age_partner","percent"
"10",0.00474551945449505
"11",0.00777642812964388
"12",0.0126701355160341
"13",0.0224569932513907
"14",0.032938451237972
"15",0.0493034422765397
"16",0.0707970369553719
"17",0.0848787656664877
"18",0.0960442008258272
"19",0.102718254104026
"20",0.101820096179979
"21",0.0848140840813263
"22",0.0755580100314149
"23",0.0606838071810333
"24",0.0453665274721925
"25",0.0363094631686295
"26",0.0320659601323759
"27",0.0219514383240526
"28",0.0150265258343441
"29",0.00863916610759864
"30",0.00851071092024784
"31",0.00503132592684434
"32",0.00419817806415075
"33",0.00404588012799429
"34",0.00250379067166884
"35",0.00242467344647723
"36",0.00186960121652988
"37",0.00167108423051445
"38",0.00112932702753574
"39",0.000673915505872588
"40",0.000377550968847608
"41",0.000347194224961465
"42",0.000110081608595098
"43",0.000233575304407579
"44",7.49334127809716e-05
"45",9.09888262885206e-05
"47",0.000118232413344601
"48",2.46501722031192e-05
