"Estimate","Std. Error","t value","Pr(>|t|)","rhs"
-17.6149750782339,0.348057018399499,-50.6094523225946,2.06238995032286e-61,"(Intercept)"
15.978732198539,0.889742873654269,17.9588200947456,1.94809322007297e-29,"age_grp(18,20]"
16.5491845764959,0.695570708631483,23.7922390508019,1.67907571154241e-37,"age_grp(20,25]"
15.7886772259488,0.81935097552914,19.2697362882279,2.17111673079557e-31,"age_grp(25,35]"
16.3352913164756,1.12837764015526,14.4767945899991,8.34547909707237e-24,"age_grp(35,50]"
-0.0474915169529649,1.05884074866723,-0.0448523699269627,0.964339611882277,"fp_ever_user"
-15.7949116112224,1.47558883288964,-10.7041414648627,5.69643965188269e-17,"age_grp(18,20]:fp_ever_user"
0.456252513788987,1.43923202833578,0.317011089807781,0.752082146563518,"age_grp(20,25]:fp_ever_user"
0.377002718938762,1.35027718173869,0.27920394718758,0.780827290804175,"age_grp(25,35]:fp_ever_user"
-1.06879720350372,2.00673770109997,-0.532604337337095,0.59582157443517,"age_grp(35,50]:fp_ever_user"
