"age","Freq"
"15",0.0111010986883223
"16",0.0177560108774547
"17",0.0115574432229284
"18",0.0230267009866732
"19",0.0319080123240687
"20",0.0529044770383777
"21",0.0658385540952705
"22",0.0701108989501167
"23",0.0838968290269065
"24",0.0980143855904145
"25",0.115788331435484
"26",0.102440459034119
"27",0.130012839920957
"28",0.165064715876919
"29",0.16495217818558
"30",0.151779989374213
"31",0.122359106882266
"32",0.179049819409238
"33",0.204829134335449
"34",0.176458717295181
"35",0.220248802540846
"36",0.268057570829263
"37",0.252844555695764
"38",0.281989780596598
"39",0.348429062602843
"40",0.455937747784379
"41",0.526519216009213
"42",0.590506101915818
"43",0.6103486733624
"44",0.62631731651911
"45",0.572191030019778
"46",0.801061298049942
"47",0.544715435396787
"48",0.558072312521939
"49",0.684962533221519
