"month","probs"
0,0.181921911544649
1,0.192806653228816
2,0.467152549415711
3,0.685589959267256
4,0.736041808030134
5,0.73134906169741
6,0.75407467503954
7,0.722546986546202
8,0.80103738294675
9,0.786081386496353
10,0.743125387488252
11,0.697093598644205
12,0.756673679825172
13,0.713520474875846
14,0.76974281094656
15,0.781735373149936
16,0.75622277539004
17,0.781953390289833
18,0.727336233357168
19,0.643739236882768
20,0.736523696505678
21,0.66765727825214
22,0.644478169991032
23,0.686406593268625
