age,male,female
0,2341460,2269892
5,2050775,1983504
10,1773312,1711313
15,1474535,1421805
20,1185207,1140850
25,926385,889374
30,728855,697405
35,598052,570017
40,498601,472358
45,398580,380690
50,320596,312151
55,260106,257367
60,201053,204665
65,143774,151412
70,92047,100763
75,45498,65236
80,18544,27685
85,4515,7327
90,522,996
95,18,50
100,0,0
