"space_mo","urban_rural","Freq"
"103","rural",3.587277
"104","rural",1.33558
"105","rural",1.883018
"106","rural",11.136386
"107","rural",8.922576
"108","rural",1.352953
"109","rural",2.327809
"110","rural",5.133647
"111","rural",1.938928
"112","rural",3.320192
"113","rural",4.486091
"114","rural",3.961848
"115","rural",1.875055
"116","rural",5.363611
"117","rural",3.524251
"118","rural",4.084638
"119","rural",8.605909
"120","rural",3.410947
"121","rural",5.153537
"122","rural",1.757498
"123","rural",0
"124","rural",4.447607
"125","rural",0.138402
"126","rural",0
"127","rural",0.680761
"128","rural",5.405263
"129","rural",4.101647
"130","rural",1.208802
"131","rural",3.750323
"132","rural",0.944815
"133","rural",0.939871
"134","rural",1.054226
"135","rural",0.432222
"136","rural",2.088032
"137","rural",1.328479
"138","rural",0
"140","rural",5.166768
"141","rural",2.753649
"142","rural",1.684141
"143","rural",1.675198
"144","rural",1.112418
"145","rural",0.742383
"147","rural",0
"148","rural",0
"152","rural",1.037657
"153","rural",0
"154","rural",0.138402
"156","rural",0
"157","rural",1.322896
"158","rural",0.358206
"160","rural",0.363925
"162","rural",0.826432
"164","rural",0.988687
"166","rural",1.076214
"168","rural",0.186659
"170","rural",0
"178","rural",1.246935
"181","rural",0
"184","rural",1.296445
"189","rural",0.989888
"193","rural",0.410442
"197","rural",4.505977
"199","rural",0
"210","rural",0.944815
"213","rural",0.42259
"222","rural",0
"241","rural",2.792759
