year,probs
1985,1137
1986,1107
1987,1074
1988,1040
1989,1010
1990,983
1991,957
1992,926
1993,903
1994,883
1995,865
1996,854
1997,841
1998,839
1999,841
2000,845
2001,843
2002,835
2003,813
2004,790
2005,764
2006,737
2007,704
2008,669
2009,647
2010,621
2011,585
2012,554
2013,526
2014,497
2015,473
2016,450
2017,433
2018,420
2019,406
2020,388
2021,396
2022,361
2023,350
