"age","edu","parity","cum.percent"
22,20,"1",0
23,20,"1",0
24,20,"1",0
25,20,"1",0
26,20,"1",0.0464707009151289
27,20,"1",0
28,20,"1",0
29,20,"1",0.0404488014509684
30,20,"1",0
31,20,"1",0
32,20,"1",0
33,20,"1",0
34,20,"1",0
35,20,"1",0
36,20,"1",0
37,20,"1",0
38,20,"1",0
39,20,"1",0
40,20,"1",0
41,20,"1",0
42,20,"1",0
43,20,"1",0
44,20,"1",0
45,20,"1",0
46,20,"1",0
47,20,"1",0
48,20,"1",0
49,20,"1",0
15,20,"2",NA
16,20,"2",0
17,20,"2",0
18,20,"2",0
19,20,"2",0
20,20,"2",0.00153891602159822
21,20,"2",0
22,20,"2",0
23,20,"2",0
24,20,"2",0
25,20,"2",0
26,20,"2",0.0083762413234618
27,20,"2",0
28,20,"2",0
29,20,"2",0
30,20,"2",0
31,20,"2",0
32,20,"2",0
33,20,"2",0
34,20,"2",0
35,20,"2",0
36,20,"2",0
37,20,"2",0
38,20,"2",0
39,20,"2",0
40,20,"2",0
41,20,"2",0
42,20,"2",0
43,20,"2",0
44,20,"2",0
45,20,"2",0
46,20,"2",0
47,20,"2",0
48,20,"2",0
49,20,"2",0
15,20,"3",NA
16,20,"3",NA
17,20,"3",0
18,20,"3",0
19,20,"3",0
20,20,"3",0
21,20,"3",0.00400273413944388
22,20,"3",0
23,20,"3",0
24,20,"3",0.00524222702855971
25,20,"3",0
26,20,"3",0
27,20,"3",0
28,20,"3",0
29,20,"3",0
30,20,"3",0.00357087129781037
31,20,"3",0
32,20,"3",0
33,20,"3",0
34,20,"3",0
35,20,"3",0
36,20,"3",0
37,20,"3",0
38,20,"3",0
39,20,"3",0
40,20,"3",0
41,20,"3",0
42,20,"3",0
43,20,"3",0
44,20,"3",0
45,20,"3",0
46,20,"3",0
47,20,"3",0
48,20,"3",0
49,20,"3",0
15,20,"4",NA
16,20,"4",NA
17,20,"4",NA
18,20,"4",NA
19,20,"4",0
20,20,"4",0
21,20,"4",0
22,20,"4",0
23,20,"4",0
24,20,"4",0
25,20,"4",0
26,20,"4",0
27,20,"4",0
28,20,"4",0
29,20,"4",0.023717997218881
30,20,"4",0
31,20,"4",0.0161022776693868
32,20,"4",0
33,20,"4",0
34,20,"4",0
35,20,"4",0
36,20,"4",0
37,20,"4",0
38,20,"4",0
39,20,"4",0
40,20,"4",0
41,20,"4",0
42,20,"4",0.00791601432320862
43,20,"4",0
44,20,"4",0
45,20,"4",0
46,20,"4",0
47,20,"4",0
48,20,"4",0
49,20,"4",0
15,20,"5",NA
16,20,"5",NA
