rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-1.6256186755791393,0.4799922730309966,-3.3867600936862607,7.741969737332611e-4
"ns(age, knots = c(25, 40))1",0.4393988157833313,0.6092658635962538,0.7211938860151051,0.4711934040844151
"ns(age, knots = c(25, 40))2",0.009835576843453347,1.3505442305523219,0.007282676583965685,0.9941927905261018
"ns(age, knots = c(25, 40))3",0.3413140044103905,0.9127477131682352,0.373941232047196,0.7086376392609863
prior_userTRUE,-2.699904302531415,2.2956928247254624,-1.1760738516287743,0.2402347312246075
edu.levelPrimary,0.5209288772623581,0.27517214545429414,1.8931017759894742,0.059034800588706686
edu.levelSecondary,0.20493432941308784,0.35359048764283824,0.5795810028127567,0.5625094407163209
parity,-0.049973524173128905,0.07244233182495605,-0.6898387022367115,0.49067842648118276
urban,1.2799979559203547,0.2957523038901048,4.327939086472761,1.8854056729285287e-5
wealthquintile,-0.13343824348456815,0.08925335124087867,-1.4950502320573087,0.13565587839535423
"ns(age, knots = c(25, 40))1:prior_userTRUE",-1.1621524716136646,1.5371754443368295,-0.7560311192162208,0.4500563854098957
"ns(age, knots = c(25, 40))2:prior_userTRUE",15.78555096121669,6.498035744180919,2.429280413754706,0.015549323327126116
"ns(age, knots = c(25, 40))3:prior_userTRUE",8.94719549729619,3.313193881150123,2.70047447213995,0.007205361920166761
