"age_partner","percent"
"9",0.000191915047593141
"10",0.00785454807720965
"11",0.00617580219422109
"12",0.0408831910333288
"13",0.0866404682761333
"14",0.170175144995975
"15",0.271432195145012
"16",0.119254870864172
"17",0.105110746218238
"18",0.0694715001829278
"19",0.0324496081519036
"20",0.0375627185400303
"21",0.0127820225659421
"22",0.0110822572555207
"23",0.00621918808901478
"24",0.00625097391113278
"25",0.0056945100044202
"26",0.00327068144505404
"27",0.00213193131212142
"28",0.00197726186015345
"29",0.00119359151059179
"30",0.000773449037054846
"31",0.000241385390578864
"32",0.000381417118938695
"33",0.000325115345275654
"34",0.000123547711582697
"35",5.49403331349461e-05
"37",0.000150432269958465
"38",0.000101394431485848
"40",4.31916812935476e-05
