rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.2311158064475376,0.643187290120606,-3.468843120375053,6.308364248711645e-4
"age_grp(18,20]",-16.387663168297937,0.6704057962592402,-24.444393619116273,3.992575141981368e-64
"age_grp(20,25]",-0.8561349501605411,0.8147568602459353,-1.050785813453741,0.2945311542817156
"age_grp(25,35]",-0.6833023289706648,0.8402021300798662,-0.8132594580612559,0.41696484264386846
"age_grp(35,50]",-1.3102967062866067,1.2062263560558657,-1.086277629159946,0.2785669527196308
prior_userTRUE,-14.90411276662888,1.1328609559371472,-13.1561712746112,2.0131246764879163e-29
"age_grp(18,20]:prior_userTRUE",14.812489040388158,1.3471625559780565,10.995324190579295,1.272194281270938e-22
"age_grp(20,25]:prior_userTRUE",-0.5728645546065595,1.2767809394656138,-0.44867881161064893,0.6541131562717006
"age_grp(25,35]:prior_userTRUE",13.865300211428607,1.626778478249378,8.523164276398251,2.69062578547257e-15
"age_grp(35,50]:prior_userTRUE",13.865300211428607,1.626778478249378,8.523164276398251,2.69062578547257e-15
