"age_partner","percent"
"10",0.0088197843957092
"11",0.0234197077265901
"12",0.0412088459015111
"13",0.100488876709769
"14",0.165683116433941
"15",0.155003881545817
"16",0.110873876062887
"17",0.0797620073511614
"18",0.0586167383273329
"19",0.0652192214831337
"20",0.0437211523100454
"21",0.0330806179491147
"22",0.0302290480325135
"23",0.0179157889267362
"24",0.0187740077679092
"25",0.0106274726208898
"26",0.00996929193680046
"27",0.00469838803836799
"28",0.00743623920215842
"29",0.00257566507648137
"30",0.00206034102362882
"31",0.00210132793059671
"32",0.0023638033494744
"33",0.00195673717577112
"34",0.00120840213820768
"35",0.000618210163504966
"38",0.00078898265948136
"48",0.000778467760465038
