age,probs
10,0.003879114303273417
11,0.006809505782098879
12,0.032295364997908665
13,0.07551048565081077
14,0.182464647730928
15,0.293625008638725
16,0.11035522140020121
17,0.10265639337237782
18,0.07934076811761633
19,0.028845388992290028
20,0.034853739337953174
21,0.013845955014663208
22,0.013017265816312752
23,0.008383595951174536
24,0.0039500390151589555
25,0.006214296288609251
27,5.778772739135893e-4
28,2.8612687310229613e-4
29,0.0012750072748846997
31,0.0012088873211806707
35,6.053108468170488e-4
