year,region,method,perc,freq
2007,Somali,BTL,0,0
2008,Somali,BTL,0,0
2009,Somali,BTL,0,0
2010,Somali,BTL,0,0
2011,Somali,BTL,0,0
2012,Somali,BTL,0,0
2013,Somali,BTL,0,0
2014,Somali,BTL,0,0
2015,Somali,BTL,0,0
2016,Somali,BTL,0,0
2017,Somali,BTL,0,0
2018,Somali,BTL,0,0
2019,Somali,BTL,0,0
2000,Somali,Withdrawal,0,0
2001,Somali,Withdrawal,0,0
2002,Somali,Withdrawal,0,0
2003,Somali,Withdrawal,0,0
2004,Somali,Withdrawal,0,0
2005,Somali,Withdrawal,0,0
2006,Somali,Withdrawal,0,0
2007,Somali,Withdrawal,0,0
2008,Somali,Withdrawal,0,0
2009,Somali,Withdrawal,0,0
2010,Somali,Withdrawal,0,0
2011,Somali,Withdrawal,0,0
2012,Somali,Withdrawal,0.02,2.00E-04
2013,Somali,Withdrawal,0.04,4.00E-04
2014,Somali,Withdrawal,0.06,6.00E-04
2015,Somali,Withdrawal,0.08,8.00E-04
2016,Somali,Withdrawal,0.1,0.001
2017,Somali,Withdrawal,0.066666667,0.000666667
2018,Somali,Withdrawal,0.033333333,0.000333333
2019,Somali,Withdrawal,0,0
2000,Tigray,Condoms,0.5,0.005
2001,Tigray,Condoms,0.42,0.0042
2002,Tigray,Condoms,0.34,0.0034
2003,Tigray,Condoms,0.26,0.0026
2004,Tigray,Condoms,0.18,0.0018
2005,Tigray,Condoms,0.1,0.001
2006,Tigray,Condoms,0.2,0.002
2007,Tigray,Condoms,0.3,0.003
2008,Tigray,Condoms,0.4,0.004
2009,Tigray,Condoms,0.5,0.005
2010,Tigray,Condoms,0.6,0.006
2011,Tigray,Condoms,0.7,0.007
2012,Tigray,Condoms,0.6,0.006
2013,Tigray,Condoms,0.5,0.005
2014,Tigray,Condoms,0.4,0.004
2015,Tigray,Condoms,0.3,0.003
2016,Tigray,Condoms,0.2,0.002
2017,Tigray,Condoms,0.533333333,0.005333333
2018,Tigray,Condoms,0.866666667,0.008666667
2019,Tigray,Condoms,1.2,0.012
2000,Tigray,Implants,0,0
2001,Tigray,Implants,0.02,2.00E-04
2002,Tigray,Implants,0.04,4.00E-04
2003,Tigray,Implants,0.06,6.00E-04
2004,Tigray,Implants,0.08,8.00E-04
2005,Tigray,Implants,0.1,0.001
2006,Tigray,Implants,0.666666667,0.006666667
2007,Tigray,Implants,1.233333333,0.012333333
2008,Tigray,Implants,1.8,0.018
2009,Tigray,Implants,2.366666667,0.023666667
2010,Tigray,Implants,2.933333333,0.029333333
2011,Tigray,Implants,3.5,0.035
2012,Tigray,Implants,4.32,0.0432
2013,Tigray,Implants,5.14,0.0514
2014,Tigray,Implants,5.96,0.0596
2015,Tigray,Implants,6.78,0.0678
2016,Tigray,Implants,7.6,0.076
2017,Tigray,Implants,8.5,0.085
2018,Tigray,Implants,9.4,0.094
2019,Tigray,Implants,10.3,0.103
2000,Tigray,Injectables,4.3,0.043
2001,Tigray,Injectables,5.22,0.0522
2002,Tigray,Injectables,6.14,0.0614
2003,Tigray,Injectables,7.06,0.0706
2004,Tigray,Injectables,7.98,0.0798
2005,Tigray,Injectables,8.9,0.089
2006,Tigray,Injectables,9.05,0.0905
2007,Tigray,Injectables,9.2,0.092
2008,Tigray,Injectables,9.35,0.0935
2009,Tigray,Injectables,9.5,0.095
2010,Tigray,Injectables,9.65,0.0965
2011,Tigray,Injectables,9.8,0.098
2012,Tigray,Injectables,10.56,0.1056
2013,Tigray,Injectables,11.32,0.1132
2014,Tigray,Injectables,12.08,0.1208
2015,Tigray,Injectables,12.84,0.1284
2016,Tigray,Injectables,13.6,0.136
2017,Tigray,Injectables,12.73333333,0.127333333
2018,Tigray,Injectables,11.86666667,0.118666667
2019,Tigray,Injectables,11,0.11
2000,Tigray,IUDs,0,0
2001,Tigray,IUDs,0,0
2002,Tigray,IUDs,0,0
2003,Tigray,IUDs,0,0
2004,Tigray,IUDs,0,0
2005,Tigray,IUDs,0,0
2006,Tigray,IUDs,0,0
2007,Tigray,IUDs,0,0
2008,Tigray,IUDs,0,0
2009,Tigray,IUDs,0,0
2010,Tigray,IUDs,0,0
2011,Tigray,IUDs,0,0
2012,Tigray,IUDs,0.14,0.0014
2013,Tigray,IUDs,0.28,0.0028
2014,Tigray,IUDs,0.42,0.0042
2015,Tigray,IUDs,0.56,0.0056
2016,Tigray,IUDs,0.7,0.007
2017,Tigray,IUDs,0.7,0.007
2018,Tigray,IUDs,0.7,0.007
2019,Tigray,IUDs,0.7,0.007
2000,Tigray,Other modern,0,0
2001,Tigray,Other modern,0,0
2002,Tigray,Other modern,0,0
2003,Tigray,Other modern,0,0
2004,Tigray,Other modern,0,0
2005,Tigray,Other modern,0,0
2006,Tigray,Other modern,0,0
2007,Tigray,Other modern,0,0
2008,Tigray,Other modern,0,0
2009,Tigray,Other modern,0,0
2010,Tigray,Other modern,0,0
2011,Tigray,Other modern,0,0
2012,Tigray,Other modern,0.04,4.00E-04
2013,Tigray,Other modern,0.08,8.00E-04
2014,Tigray,Other modern,0.12,0.0012
2015,Tigray,Other modern,0.16,0.0016
2016,Tigray,Other modern,0.2,0.002
2017,Tigray,Other modern,0.266666667,0.002666667
2018,Tigray,Other modern,0.333333333,0.003333333
2019,Tigray,Other modern,0.4,0.004
2000,Tigray,Other traditional,0.5,0.005
2001,Tigray,Other traditional,0.44,0.0044
2002,Tigray,Other traditional,0.38,0.0038
2003,Tigray,Other traditional,0.32,0.0032
2004,Tigray,Other traditional,0.26,0.0026
2005,Tigray,Other traditional,0.2,0.002
2006,Tigray,Other traditional,0.266666667,0.002666667
2007,Tigray,Other traditional,0.333333333,0.003333333
2008,Tigray,Other traditional,0.4,0.004
2009,Tigray,Other traditional,0.466666667,0.004666667
2010,Tigray,Other traditional,0.533333333,0.005333333
2011,Tigray,Other traditional,0.6,0.006
2012,Tigray,Other traditional,0.62,0.0062
2013,Tigray,Other traditional,0.64,0.0064
2014,Tigray,Other traditional,0.66,0.0066
2015,Tigray,Other traditional,0.68,0.0068
2016,Tigray,Other traditional,0.7,0.007
2017,Tigray,Other traditional,0.566666667,0.005666667
2018,Tigray,Other traditional,0.433333333,0.004333333
2019,Tigray,Other traditional,0.3,0.003
2000,Tigray,Pill,1.5,0.015
2001,Tigray,Pill,1.58,0.0158
2002,Tigray,Pill,1.66,0.0166
2003,Tigray,Pill,1.74,0.0174
2004,Tigray,Pill,1.82,0.0182
2005,Tigray,Pill,1.9,0.019
2006,Tigray,Pill,1.8,0.018
2007,Tigray,Pill,1.7,0.017
2008,Tigray,Pill,1.6,0.016
2009,Tigray,Pill,1.5,0.015
2010,Tigray,Pill,1.4,0.014
2011,Tigray,Pill,1.3,0.013
2012,Tigray,Pill,1.46,0.0146
2013,Tigray,Pill,1.62,0.0162
2014,Tigray,Pill,1.78,0.0178
2015,Tigray,Pill,1.94,0.0194
2016,Tigray,Pill,2.1,0.021
2017,Tigray,Pill,2.266666667,0.022666667
2018,Tigray,Pill,2.433333333,0.024333333
2019,Tigray,Pill,2.6,0.026
2000,Tigray,BTL,0.1,0.001
2001,Tigray,BTL,0.08,8.00E-04
2002,Tigray,BTL,0.06,6.00E-04
2003,Tigray,BTL,0.04,4.00E-04
2004,Tigray,BTL,0.02,2.00E-04
2005,Tigray,BTL,0,0
2006,Tigray,BTL,0.016666667,0.000166667
2007,Tigray,BTL,0.033333333,0.000333333
2008,Tigray,BTL,0.05,5.00E-04
2009,Tigray,BTL,0.066666667,0.000666667
2010,Tigray,BTL,0.083333333,0.000833333
2011,Tigray,BTL,0.1,0.001
2012,Tigray,BTL,0.1,0.001
2013,Tigray,BTL,0.1,0.001
2014,Tigray,BTL,0.1,0.001
2015,Tigray,BTL,0.1,0.001
2016,Tigray,BTL,0.1,0.001
2017,Tigray,BTL,0.066666667,0.000666667
2018,Tigray,BTL,0.033333333,0.000333333
2019,Tigray,BTL,0,0
2000,Tigray,Withdrawal,0.1,0.001
2001,Tigray,Withdrawal,0.08,8.00E-04
2002,Tigray,Withdrawal,0.06,6.00E-04
2003,Tigray,Withdrawal,0.04,4.00E-04
2004,Tigray,Withdrawal,0.02,2.00E-04
2005,Tigray,Withdrawal,0,0
2006,Tigray,Withdrawal,0,0
2007,Tigray,Withdrawal,0,0
2008,Tigray,Withdrawal,0,0
2009,Tigray,Withdrawal,0,0
2010,Tigray,Withdrawal,0,0
2011,Tigray,Withdrawal,0,0
2012,Tigray,Withdrawal,0.02,2.00E-04
2013,Tigray,Withdrawal,0.04,4.00E-04
2014,Tigray,Withdrawal,0.06,6.00E-04
2015,Tigray,Withdrawal,0.08,8.00E-04
2016,Tigray,Withdrawal,0.1,0.001
2017,Tigray,Withdrawal,0.133333333,0.001333333
2018,Tigray,Withdrawal,0.166666667,0.001666667
2019,Tigray,Withdrawal,0.2,0.002
