rhs,Estimate,Std. Error,t value,Pr(>|t|),region
(Intercept),-4.040077482276513,0.47356033297585637,-8.531283557659144,4.933018845227471e-11,Addis Adaba
"age_grp(18,20]",1.7023388656488723,0.5154378354621258,3.3027045135765154,0.001858282950420466,Addis Adaba
"age_grp(18,20]:prior_userTRUE",-0.6444850424627311,1.1378981303057303,-0.566382020761007,0.5738872231204228,Addis Adaba
"age_grp(20,25]",2.6022461490444306,0.5071626140178049,5.130989700579692,5.656381030963688e-6,Addis Adaba
"age_grp(20,25]:prior_userTRUE",-1.1874209993779543,1.0980475986895237,-1.0813930113731811,0.285159093410622,Addis Adaba
"age_grp(25,35]",2.593847067722359,0.49107946417514703,5.28192941661524,3.3934783782239546e-6,Addis Adaba
"age_grp(25,35]:prior_userTRUE",-0.1905622812959238,1.1289996905594226,-0.16878860365453213,0.8667029399005569,Addis Adaba
"age_grp(35,50]",1.5157418987884546,0.5279383632622372,2.8710584497447407,0.006164948502314774,Addis Adaba
"age_grp(35,50]:prior_userTRUE",0.7046334481421146,1.0551905061678113,0.6677784191796489,0.5076117321580628,Addis Adaba
prior_userTRUE,2.9339626222248754,1.0522726236640059,2.788215293493846,0.007681214408091048,Addis Adaba
(Intercept),-5.057019466654939,1.0082181020472778,-5.015799117657385,1.0113184805019264e-5,Afar
"age_grp(18,20]",3.2639476641788265,1.1812936842429298,2.7630281171532993,0.008463364864502157,Afar
"age_grp(18,20]:prior_userTRUE",-18.542031217803615,1.824539592124634,-10.162580904156677,6.917227909415617e-13,Afar
"age_grp(20,25]",3.1521656840356163,1.0423283881746905,3.0241579523279034,0.004240294652729523,Afar
"age_grp(20,25]:prior_userTRUE",-2.9705357526688534,1.4881117039953005,-1.996177937915227,0.0524247483119131,Afar
"age_grp(25,35]",2.1242844296299843,0.9918603729930016,2.141717208864612,0.03806149897988509,Afar
"age_grp(25,35]:prior_userTRUE",-16.8964982249578,1.6577138894421524,-10.192650452270593,6.327628216569733e-13,Afar
"age_grp(35,50]",0.668368838458099,1.2933144300455786,0.5167875830740902,0.6080152132063192,Afar
"age_grp(35,50]:prior_userTRUE",-16.287306522126972,1.4452706356781881,-11.269381747650474,2.8134208307415288e-14,Afar
prior_userTRUE,21.546644656562062,1.4165745796272098,15.210384942974443,1.0942599054452174e-18,Afar
(Intercept),-1.9599160400777857,0.18312338882596907,-10.702707352911581,1.8991290918770404e-15,Amhara
"age_grp(18,20]",0.7566402857012297,0.300992817363779,2.513815088108088,0.014692263810281176,Amhara
"age_grp(18,20]:prior_userTRUE",-1.097913411483089,0.6890488681748848,-1.5933752483930241,0.11641982588198557,Amhara
"age_grp(20,25]",1.3577981383153719,0.2821334402886893,4.812609724412757,1.0727440117312265e-5,Amhara
"age_grp(20,25]:prior_userTRUE",-0.9182799898366967,0.6674057364282533,-1.3758946615458296,0.17405492315520882,Amhara
"age_grp(25,35]",1.2327397034673664,0.23660063418325936,5.210213014528719,2.522096568328013e-6,Amhara
"age_grp(25,35]:prior_userTRUE",-0.8237911508880091,0.5275801427322527,-1.5614521551583183,0.12376550226693163,Amhara
"age_grp(35,50]",0.2940031291374957,0.2715850935764002,1.082545162055402,0.2834149351470205,Amhara
"age_grp(35,50]:prior_userTRUE",0.4271635782430518,0.6224073836863896,0.6863086612389633,0.4952069001596576,Amhara
prior_userTRUE,2.3566881921485408,0.49465071368664015,4.764348108555437,1.2753035765081505e-5,Amhara
(Intercept),-3.690495833365781,0.4475937504379794,-8.245190710894773,4.4699433755476097e-10,Benishangul-Gumuz
"age_grp(18,20]",2.880401292016218,0.47647118235432667,6.045279124298045,4.4805990036380855e-7,Benishangul-Gumuz
"age_grp(18,20]:prior_userTRUE",-3.8534127717197593,0.9845537683052235,-3.9138672724323524,3.539758435702957e-4,Benishangul-Gumuz
"age_grp(20,25]",2.8217687686376687,0.4298152881580907,6.565073059010855,8.520735163762681e-8,Benishangul-Gumuz
"age_grp(20,25]:prior_userTRUE",-4.003954092776803,1.2331460819065434,-3.2469422329805138,0.0024002328195739555,Benishangul-Gumuz
"age_grp(25,35]",2.361035481710024,0.46356722524714705,5.093188976962851,9.32945526570829e-6,Benishangul-Gumuz
"age_grp(25,35]:prior_userTRUE",-2.868445125580935,1.1596279640701335,-2.47359085366749,0.017836677686869987,Benishangul-Gumuz
"age_grp(35,50]",1.2049456933731522,0.4808659288739377,2.505783048915152,0.0165007289092948,Benishangul-Gumuz
"age_grp(35,50]:prior_userTRUE",-1.719540118117272,1.300313005930449,-1.3224047673712545,0.19373652741080488,Benishangul-Gumuz
prior_userTRUE,4.7096678969600605,1.1547761364840121,4.078425028161522,2.1645583019185512e-4,Benishangul-Gumuz
(Intercept),-4.003885983653532,0.42894859490958187,-9.334186033404567,3.1830768087772153e-13,Central
"age_grp(18,20]",2.403355284716928,0.4574386139308239,5.25394055404421,2.1460186526810943e-6,Central
"age_grp(18,20]:prior_userTRUE",0.16282644376141822,1.2162115311621717,0.13388003615277896,0.8939530701340795,Central
"age_grp(20,25]",2.9079595000311054,0.453200530789674,6.416496236145543,2.6077037509640237e-8,Central
"age_grp(20,25]:prior_userTRUE",-0.8522358759943741,1.5757604414677573,-0.5408410146408744,0.5906533388496557,Central
"age_grp(25,35]",3.1612141178773663,0.45768842960154593,6.9069128984306065,3.8877823878199755e-9,Central
"age_grp(25,35]:prior_userTRUE",-0.881645245650725,1.4760124066832256,-0.5973156063314441,0.5525822864185421,Central
"age_grp(35,50]",2.504557786390413,0.42842444530368423,5.8459731087825375,2.3263086350649872e-7,Central
"age_grp(35,50]:prior_userTRUE",0.11731869792044033,1.5208428127658284,0.07714058082510362,0.9387727168322213,Central
prior_userTRUE,3.079439064342512,1.4701514212454652,2.094640742335038,0.040506397176792136,Central
(Intercept),-3.656612677995613,0.3904642899331964,-9.364781293114447,8.157418487295527e-11,Dire Dawa
"age_grp(18,20]",1.029686889516597,0.6137473675427845,1.677704775564381,0.1028528368463244,Dire Dawa
"age_grp(18,20]:prior_userTRUE",-0.8388768684066186,1.324065956602221,-0.6335612393202221,0.5307341719471392,Dire Dawa
"age_grp(20,25]",2.407197658912518,0.4402330769714606,5.468007255321643,4.6337202595909725e-6,Dire Dawa
"age_grp(20,25]:prior_userTRUE",-1.3057651032601911,1.0558299521556551,-1.2367191332224012,0.22492086421805216,Dire Dawa
"age_grp(25,35]",2.13099586608429,0.49385906590301676,4.314987844128737,1.3648614298817496e-4,Dire Dawa
"age_grp(25,35]:prior_userTRUE",-0.43807827959993534,1.4007132669834599,-0.31275371621443226,0.7564357664267699,Dire Dawa
"age_grp(35,50]",0.6449550017948118,0.6274091181356228,1.0279656178911256,0.31144217803194213,Dire Dawa
"age_grp(35,50]:prior_userTRUE",0.2316779305009364,1.1235718286762004,0.20619770324243608,0.8379033785420087,Dire Dawa
