"region","age_partner","percent"
"dire_dawa","23",0.0382740181912099
"dire_dawa","24",0.0267660379505091
"dire_dawa","25",0.0167326272901745
"dire_dawa","26",0.0105144190529591
"dire_dawa","27",0.00979794911434516
"dire_dawa","28",0.00621143167873742
"dire_dawa","29",0.00556096160191988
"dire_dawa","30",0.00550102246495946
"dire_dawa","31",0.00454174175496448
"dire_dawa","32",0.00408233563091541
"dire_dawa","33",0.000679501107855959
"dire_dawa","34",0
"dire_dawa","35",0.000679501107855959
"dire_dawa","36",0
"dire_dawa","37",0
"dire_dawa","38",0
"dire_dawa","39",0
"dire_dawa","40",0.00103934272600395
"dire_dawa","42",0
"dire_dawa","43",0
"gambela","10",0.00823978393272373
"gambela","11",0.0225639614538887
"gambela","12",0.0535127396126778
"gambela","13",0.0745970103439863
"gambela","14",0.10977429435523
"gambela","15",0.148589639558793
"gambela","16",0.11694687198874
"gambela","17",0.101542077603811
"gambela","18",0.0932913957613325
"gambela","19",0.0794917787542006
"gambela","20",0.0444424648360535
"gambela","21",0.0455336290065778
"gambela","22",0.0225990509702836
"gambela","23",0.0242752838883578
"gambela","24",0.0159192458459462
"gambela","25",0.0055076224451012
"gambela","26",0.00684783160958884
"gambela","27",0.0049688040759468
"gambela","28",0.00488793165181605
"gambela","29",0.00430648580187886
"gambela","30",0.00107576685566992
"gambela","31",0.00251984215736307
"gambela","32",0
"gambela","33",0.000565464196758167
"gambela","34",0.00107576685566992
"gambela","35",0.00104447553838523
"gambela","36",0.00251984215736307
"gambela","37",0.00163567983834397
"gambela","38",0.00172525890351192
"gambela","39",0
"gambela","40",0
"gambela","42",0
"gambela","43",0
"harari","10",0.00556418144453968
"harari","11",0.0147012406098573
"harari","12",0.0259960141492182
"harari","13",0.0622872683258736
"harari","14",0.114655350880462
"harari","15",0.108701934821403
"harari","16",0.102579278820475
"harari","17",0.104584176945276
"harari","18",0.106888393417826
"harari","19",0.0795681672953215
"harari","20",0.057928330593751
"harari","21",0.0704529143773557
"harari","22",0.0358967750216337
"harari","23",0.0183819764464926
"harari","24",0.0198197741259214
"harari","25",0.0167901548933633
"harari","26",0.0111909868431041
"harari","27",0.00571296077773775
"harari","28",0.00758584829752554
"harari","29",0.0148413940540712
"harari","30",0.00313226731146912
"harari","31",0.00182806740062631
"harari","32",0.0066547008334679
"harari","33",0.00141181650180868
"harari","34",0.00141181650180868
"harari","35",0
"harari","36",0
"harari","37",0
"harari","38",0
"harari","39",0
"harari","40",0
"harari","42",0.00143420930961145
"harari","43",0
"oromia","10",0.00931473853517299
"oromia","11",0.0145681557978747
"oromia","12",0.0277344054931682
"oromia","13",0.0685080784412583
"oromia","14",0.123384617675698
"oromia","15",0.14459417271738
"oromia","16",0.125212001341709
"oromia","17",0.107336629508014
"oromia","18",0.102653204590801
"oromia","19",0.0588417983021044
"oromia","20",0.0565208063456062
"oromia","21",0.0335943754787002
"oromia","22",0.03040424305825
"oromia","23",0.0271388384102173
"oromia","24",0.0198867666594487
"oromia","25",0.0108789743733344
"oromia","26",0.0135446366644199
"oromia","27",0.00472226669494304
"oromia","28",0.00700395017236584
"oromia","29",0.00378688035479877
"oromia","30",0.00434954984264236
"oromia","31",0.00167794855701076
"oromia","32",0.000542588923732539
"oromia","33",0
"oromia","34",0.00128858226392464
"oromia","35",0
"oromia","36",0.00107823191487907
"oromia","37",0.000808028528124628
"oromia","38",0
"oromia","39",0
"oromia","40",0.000625529354421729
"oromia","42",0
"oromia","43",0
"sidama","10",0.00577208586147704
"sidama","11",0.0101460830535325
"sidama","12",0.029534232609313
"sidama","13",0.055478015156334
"sidama","14",0.100950294267243
"sidama","15",0.124489730832794
"sidama","16",0.12272370919151
"sidama","17",0.132445348173741
"sidama","18",0.106142373823235
"sidama","19",0.0688007042528018
"sidama","20",0.07121131043811
"sidama","21",0.0386091870372282
"sidama","22",0.0451046058805795
"sidama","23",0.0337025015204837
"sidama","24",0.0143726777916505
"sidama","25",0.0125128193268895
"sidama","26",0.00835603055855668
"sidama","27",0.0079706654666377
"sidama","28",0.0021227766362907
"sidama","29",0.00375123829611148
"sidama","30",0
"sidama","31",0.000957221573916977
"sidama","32",0.000687907267147301
"sidama","33",0.00130966182916533
"sidama","34",0.00066746604143532
"sidama","35",0.00151388707238167
"sidama","36",0
"sidama","37",0.00066746604143532
"sidama","38",0
"sidama","39",0
"sidama","40",0
"sidama","42",0
"sidama","43",0
"somali","10",0.00678833010347201
"somali","11",0.00662662190703144
"somali","12",0.0106798235041325
"somali","13",0.0570655286683188
"somali","14",0.0909910723463679
"somali","15",0.138282792111123
"somali","16",0.135405543448279
"somali","17",0.112509725848799
"somali","18",0.110360400154572
"somali","19",0.0929522623345197
"somali","20",0.0685490373547023
"somali","21",0.0386995773230097
"somali","22",0.0297915787845105
"somali","23",0.0326394719294642
"somali","24",0.0190450117791984
"somali","25",0.0145180176552639
"somali","26",0.0136441273284846
"somali","27",0.00354613650316378
"somali","28",0.0045694362741466
"somali","29",0.00400962791698073
"somali","30",0.00502146151822682
"somali","31",0.00430441520623314
"somali","32",0
"somali","33",0
"somali","34",0
"somali","35",0
"somali","36",0
"somali","37",0
"somali","38",0
"somali","39",0
"somali","40",0
"somali","42",0
"somali","43",0
"south","10",0.00577208586147704
"south","11",0.0101460830535325
"south","12",0.029534232609313
"south","13",0.055478015156334
"south","14",0.100950294267243
"south","15",0.124489730832794
"south","16",0.12272370919151
"south","17",0.132445348173741
"south","18",0.106142373823235
"south","19",0.0688007042528018
"south","20",0.07121131043811
"south","21",0.0386091870372282
"south","22",0.0451046058805795
"south","23",0.0337025015204837
"south","24",0.0143726777916505
"south","25",0.0125128193268895
"south","26",0.00835603055855668
"south","27",0.0079706654666377
"south","28",0.0021227766362907
"south","29",0.00375123829611148
"south","30",0
"south","31",0.000957221573916977
"south","32",0.000687907267147301
"south","33",0.00130966182916533
"south","34",0.00066746604143532
"south","35",0.00151388707238167
"south","36",0
"south","37",0.00066746604143532
"south","38",0
"south","39",0
"south","40",0
"south","42",0
"south","43",0
"southwest","10",0.00577208586147704
"southwest","11",0.0101460830535325
"southwest","12",0.029534232609313
