"region","wt","age","afb"
"addis_ababa",0.487009,16,Inf
"addis_ababa",0.479933,16,Inf
"addis_ababa",0.430932,16,Inf
"addis_ababa",0.430932,16,Inf
"addis_ababa",0.442586,16,Inf
"addis_ababa",0.637581,16,Inf
"addis_ababa",0.637581,16,Inf
"addis_ababa",0.463521,16,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.462503,17,Inf
"addis_ababa",0.556598,17,Inf
"addis_ababa",0.418612,17,Inf
"addis_ababa",0.418612,17,Inf
"addis_ababa",0.5601,17,Inf
"addis_ababa",0.55862,17,Inf
"addis_ababa",0.382735,17,Inf
"addis_ababa",0.406922,17,Inf
"addis_ababa",0.406922,17,Inf
"addis_ababa",0.406922,17,Inf
"addis_ababa",0.545426,17,Inf
"addis_ababa",0.545426,17,Inf
"addis_ababa",0.545426,17,Inf
"addis_ababa",0.363043,17,Inf
"addis_ababa",0.363043,17,Inf
"addis_ababa",0.363043,17,Inf
"addis_ababa",0.363043,17,Inf
"addis_ababa",0.571531,17,Inf
"addis_ababa",0.459105,17,Inf
"addis_ababa",0.503123,17,Inf
"addis_ababa",0.449799,17,Inf
"addis_ababa",0.449799,17,Inf
"addis_ababa",0.449799,17,Inf
"addis_ababa",0.653583,17,Inf
"addis_ababa",0.653583,17,Inf
"addis_ababa",0.559482,17,Inf
"addis_ababa",0.559482,17,Inf
"addis_ababa",0.699948,17,Inf
"addis_ababa",0.478881,17,Inf
"addis_ababa",0.419123,17,Inf
"addis_ababa",0.419123,17,Inf
"addis_ababa",0.662023,17,Inf
"addis_ababa",0.111606,17,Inf
"addis_ababa",0.411063,17,Inf
"addis_ababa",0.947789,17,Inf
"addis_ababa",0.947789,17,Inf
"addis_ababa",0.37311,17,Inf
"addis_ababa",0.37311,17,Inf
"addis_ababa",0.37311,17,Inf
"addis_ababa",0.404154,17,Inf
"addis_ababa",0.540588,17,Inf
"addis_ababa",0.540588,17,Inf
"addis_ababa",0.540588,17,Inf
"addis_ababa",0.540588,17,Inf
"addis_ababa",0.411802,17,Inf
"addis_ababa",0.643373,17,Inf
"addis_ababa",0.627089,17,Inf
"addis_ababa",0.627089,17,Inf
"addis_ababa",0.489805,17,Inf
"addis_ababa",0.489805,17,Inf
"addis_ababa",0.489805,17,Inf
"addis_ababa",0.450923,17,Inf
"addis_ababa",0.427583,17,Inf
"addis_ababa",0.427583,17,Inf
"addis_ababa",0.708431,17,Inf
"addis_ababa",0.564132,17,Inf
"addis_ababa",0.388463,17,Inf
"addis_ababa",0.388463,17,Inf
"addis_ababa",0.591263,17,Inf
"addis_ababa",0.591263,17,Inf
"addis_ababa",0.487009,17,Inf
"addis_ababa",0.479933,17,Inf
"addis_ababa",0.479933,17,Inf
"addis_ababa",0.479933,17,Inf
"addis_ababa",0.548271,17,Inf
"addis_ababa",0.430932,17,Inf
"addis_ababa",0.442586,17,Inf
"addis_ababa",0.442586,17,Inf
"addis_ababa",0.637581,17,Inf
"addis_ababa",0.637581,17,Inf
"addis_ababa",0.637581,17,Inf
"addis_ababa",0.463521,17,Inf
"addis_ababa",0.463521,17,Inf
"addis_ababa",0.685395,17,Inf
"addis_ababa",0.685395,17,Inf
"addis_ababa",0.462503,18,Inf
"addis_ababa",0.462503,18,Inf
"addis_ababa",0.462503,18,Inf
"addis_ababa",0.462503,18,Inf
"addis_ababa",0.556598,18,Inf
"addis_ababa",0.418612,18,Inf
"addis_ababa",0.418612,18,Inf
"addis_ababa",0.418612,18,Inf
"addis_ababa",0.5601,18,Inf
"addis_ababa",0.5601,18,Inf
"addis_ababa",0.349625,18,Inf
"addis_ababa",0.349625,18,Inf
"addis_ababa",0.349625,18,Inf
"addis_ababa",0.596064,18,16
"addis_ababa",0.382735,18,Inf
"addis_ababa",0.382735,18,Inf
"addis_ababa",0.382735,18,17
"addis_ababa",0.463867,18,Inf
"addis_ababa",0.463867,18,Inf
"addis_ababa",0.527982,18,Inf
"addis_ababa",0.527982,18,Inf
"addis_ababa",0.406922,18,Inf
"addis_ababa",0.406922,18,Inf
"addis_ababa",0.447048,18,Inf
"addis_ababa",0.447048,18,Inf
"addis_ababa",0.672066,18,Inf
"addis_ababa",0.672066,18,Inf
"addis_ababa",0.672066,18,Inf
"addis_ababa",0.672066,18,Inf
"addis_ababa",0.545426,18,Inf
"addis_ababa",0.545426,18,Inf
"addis_ababa",0.363043,18,Inf
"addis_ababa",0.571531,18,Inf
"addis_ababa",0.571531,18,Inf
"addis_ababa",0.459105,18,16
"addis_ababa",0.509047,18,Inf
"addis_ababa",0.503123,18,Inf
"addis_ababa",0.503123,18,Inf
"addis_ababa",0.503123,18,Inf
"addis_ababa",0.503123,18,Inf
"addis_ababa",0.489765,18,Inf
"addis_ababa",0.489765,18,Inf
"addis_ababa",0.489765,18,Inf
"addis_ababa",0.489765,18,Inf
"addis_ababa",0.571436,18,Inf
"addis_ababa",0.449799,18,Inf
"addis_ababa",0.449799,18,Inf
"addis_ababa",0.653583,18,Inf
"addis_ababa",0.653583,18,Inf
"addis_ababa",0.559482,18,Inf
"addis_ababa",0.559482,18,Inf
"addis_ababa",0.559482,18,Inf
"addis_ababa",0.559482,18,Inf
"addis_ababa",0.699948,18,Inf
"addis_ababa",0.478881,18,Inf
"addis_ababa",0.478881,18,17
"addis_ababa",0.419123,18,Inf
"addis_ababa",0.419123,18,Inf
"addis_ababa",0.520776,18,Inf
"addis_ababa",0.520776,18,Inf
"addis_ababa",0.520776,18,14
"addis_ababa",0.662023,18,Inf
"addis_ababa",0.662023,18,Inf
"addis_ababa",0.111606,18,Inf
"addis_ababa",0.111606,18,Inf
"addis_ababa",0.111606,18,Inf
"addis_ababa",0.111606,18,Inf
"addis_ababa",0.111606,18,Inf
