"region","age","parity","Freq","percentage"
"amhara","25-29","6",3.120269,0.0840109644328587
"amhara","30-34","0",42.132687,1.13439183256885
"amhara","30-34","1",43.22489,1.16379860082712
"amhara","30-34","2",106.828174,2.87627057998565
"amhara","30-34","3",148.454426,3.99702701997374
"amhara","30-34","4",106.008623,2.85420476773936
"amhara","30-34","5",55.334673,1.48984566564834
"amhara","30-34","6",27.493156,0.74023315004669
"amhara","35-39","0",27.425398,0.738408815372968
"amhara","35-39","1",14.707203,0.395980701708677
"amhara","35-39","2",45.294516,1.21952176965497
"amhara","35-39","3",73.836539,1.98799489780349
"amhara","35-39","4",73.36589,1.97532301714212
"amhara","35-39","5",99.617553,2.68212987469074
"amhara","35-39","6",138.068741,3.71740003488179
"amhara","40-44","0",6.447395,0.173591402545611
"amhara","40-44","1",10.832296,0.291651660155646
"amhara","40-44","2",24.759445,0.666629977502684
"amhara","40-44","3",39.484686,1.06309633919018
"amhara","40-44","4",54.29496,1.46185215231234
"amhara","40-44","5",56.845814,1.53053203365188
"amhara","40-44","6",135.68057,3.65310027452761
"amhara","45-49","0",7.386428,0.198874180397226
"amhara","45-49","1",10.772394,0.290038842545544
"amhara","45-49","2",12.568215,0.338390011678327
"amhara","45-49","3",16.171446,0.435404375306711
"amhara","45-49","4",38.100685,1.02583312285016
"amhara","45-49","5",48.064461,1.29410051619124
"amhara","45-49","6",150.591264,4.05455982282401
"benishangul_gumuz","15-19","0",29.58861,18.4447261049238
"benishangul_gumuz","15-19","1",4.009515,2.49942143238847
"benishangul_gumuz","15-19","2",0.641014,0.399590506597697
"benishangul_gumuz","15-19","3",0,0
"benishangul_gumuz","15-19","4",0,0
"benishangul_gumuz","15-19","5",0,0
"benishangul_gumuz","15-19","6",0,0
"benishangul_gumuz","20-24","0",11.553374,7.20205575786591
"benishangul_gumuz","20-24","1",8.64097,5.38654316410484
"benishangul_gumuz","20-24","2",8.065667,5.0279150885602
"benishangul_gumuz","20-24","3",3.359457,2.09419314480367
"benishangul_gumuz","20-24","4",0.589468,0.367458147159237
"benishangul_gumuz","20-24","5",0,0
"benishangul_gumuz","20-24","6",0,0
"benishangul_gumuz","25-29","0",2.946863,1.83699338710856
"benishangul_gumuz","25-29","1",2.620179,1.63334756181089
"benishangul_gumuz","25-29","2",6.565884,4.09299159428922
"benishangul_gumuz","25-29","3",5.51331,3.43684589717252
"benishangul_gumuz","25-29","4",6.157069,3.83814756131219
"benishangul_gumuz","25-29","5",3.15563,1.96713299605764
