rhs,Estimate,Std. Error,t value,Pr(>|t|),region
"age_grp(20,25]",0.010323813190095189,0.5233403654387216,0.01972676650202709,0.9844475707562459,oromia
"age_grp(20,25]:prior_userTRUE",0.06401528929314716,1.3874637279925561,0.04613835158470579,0.9636359271120896,oromia
"age_grp(25,35]",0.02990450257156842,0.46956436998852324,0.0636856296662784,0.9498228676882559,oromia
"age_grp(25,35]:prior_userTRUE",-0.10096051374659117,0.9708326963614538,-0.10399373045940578,0.9181611211519718,oromia
"age_grp(35,50]",-0.021750361259879093,0.7628175724809767,-0.028513188532270615,0.977522087392138,oromia
prior_userTRUE,0.134607813478602,0.9764127622778063,0.13785953920203245,0.891664745323516,oromia
(Intercept),-22.586366400192055,0.5589058362756161,-40.41175621049326,4.054008493372666e-19,sidama
"age_grp(18,20]",22.669012045479686,1.4929684180201843,15.183852365437787,1.0511314971678022e-11,sidama
"age_grp(20,25]",0.0012303393945542003,0.6358705729557128,0.0019348896566092407,0.998477465290633,sidama
"age_grp(20,25]:prior_userTRUE",-0.07238763958428981,1.4100486502413414,-0.05133698016157107,0.9596224197681578,sidama
"age_grp(25,35]",5.185919782174066e-4,0.6898957827076532,7.516961129724177e-4,0.9994085016378009,sidama
"age_grp(25,35]:prior_userTRUE",0.03689897799474149,1.234821158635729,0.029882042218574142,0.9764899614201779,sidama
"age_grp(35,50]",0.04357991211190126,0.9133697307012786,0.04771333080902618,0.9624701250719749,sidama
prior_userTRUE,0.012094304657008226,1.2137930890226387,0.009964057932432874,0.9921595688843587,sidama
(Intercept),-26.528066992202813,0.5988360927668153,-44.299378932947434,1.7877006481199904e-27,somali
"age_grp(18,20]",-0.018794852704950973,0.7629325586973182,-0.024635011955765205,0.9805208259427532,somali
"age_grp(20,25]",-0.1571336691280577,0.6801576067787897,-0.2310253793561746,0.8189749362367384,somali
"age_grp(25,35]",-0.06121708528809415,0.6448554131740495,-0.0949314901254793,0.9250453755684724,somali
"age_grp(35,50]",0.027485099236738034,0.9038612505968651,0.030408538056685405,0.9759569543697781,somali
(Intercept),-22.586366400192055,0.5589058362756161,-40.41175621049326,4.054008493372666e-19,south
"age_grp(18,20]",22.669012045479686,1.4929684180201843,15.183852365437787,1.0511314971678022e-11,south
"age_grp(20,25]",0.0012303393945542003,0.6358705729557128,0.0019348896566092407,0.998477465290633,south
"age_grp(20,25]:prior_userTRUE",-0.07238763958428981,1.4100486502413414,-0.05133698016157107,0.9596224197681578,south
"age_grp(25,35]",5.185919782174066e-4,0.6898957827076532,7.516961129724177e-4,0.9994085016378009,south
"age_grp(25,35]:prior_userTRUE",0.03689897799474149,1.234821158635729,0.029882042218574142,0.9764899614201779,south
"age_grp(35,50]",0.04357991211190126,0.9133697307012786,0.04771333080902618,0.9624701250719749,south
prior_userTRUE,0.012094304657008226,1.2137930890226387,0.009964057932432874,0.9921595688843587,south
(Intercept),-22.586366400192055,0.5589058362756161,-40.41175621049326,4.054008493372666e-19,southwest
"age_grp(18,20]",22.669012045479686,1.4929684180201843,15.183852365437787,1.0511314971678022e-11,southwest
"age_grp(20,25]",0.0012303393945542003,0.6358705729557128,0.0019348896566092407,0.998477465290633,southwest
"age_grp(20,25]:prior_userTRUE",-0.07238763958428981,1.4100486502413414,-0.05133698016157107,0.9596224197681578,southwest
"age_grp(25,35]",5.185919782174066e-4,0.6898957827076532,7.516961129724177e-4,0.9994085016378009,southwest
"age_grp(25,35]:prior_userTRUE",0.03689897799474149,1.234821158635729,0.029882042218574142,0.9764899614201779,southwest
"age_grp(35,50]",0.04357991211190126,0.9133697307012786,0.04771333080902618,0.9624701250719749,southwest
prior_userTRUE,0.012094304657008226,1.2137930890226387,0.009964057932432874,0.9921595688843587,southwest
(Intercept),-26.540151787748414,0.41413348036376013,-64.08598446190945,1.42788830120594e-25,tigray
"age_grp(18,20]",0.038377370693896254,0.6879508880938242,0.05578504419150087,0.9560404029658388,tigray
"age_grp(20,25]",0.008462238979395202,0.5971061481142251,0.014172084822975889,0.9888264712474705,tigray
"age_grp(20,25]:prior_userTRUE",-0.38654135327519695,1.4260176615256415,-0.2710635104348225,0.7889887606898867,tigray
"age_grp(25,35]",-0.04391276890173515,0.5218509625521607,-0.08414810367882751,0.933735709599861,tigray
"age_grp(25,35]:prior_userTRUE",-0.11891421411349533,1.2505744794028615,-0.09508767056423208,0.9251467011110367,tigray
"age_grp(35,50]",0.04861984905555014,0.6006716541081529,0.08094247285189185,0.9362541713775059,tigray
prior_userTRUE,0.08211953392781488,1.1173314711795324,0.07349612540773046,0.9421068922928322,tigray
