parity,country,region,mcpr_percent
0.0,NG7,100,25.21617762451822
1.0,NG7,100,9.485540160180898
2.0,NG7,100,9.734755883038785
3.0,NG7,100,8.781649613971949
4.0,NG7,100,9.096887035912744
5.0,NG7,100,7.894709974114758
6.0,NG7,100,6.843316638902963
7.0,NG7,100,22.94696306935969
0.0,NG7,110,23.494260769304923
1.0,NG7,110,10.4704513312439
2.0,NG7,110,11.44659212713993
3.0,NG7,110,9.407202362803718
4.0,NG7,110,10.411548188490565
5.0,NG7,110,8.422535875733212
6.0,NG7,110,7.9804896059062465
7.0,NG7,110,18.366919739377515
