rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-18.60167569546721,0.34596316817475264,-53.76779208493994,3.375229285553095e-38
"age_grp(18,20]",16.954247292927658,0.8951622116783616,18.93986036468153,2.8769118307467236e-21
"age_grp(20,25]",14.863441050554032,1.0506326697132213,14.14713389277256,6.056665650126577e-17
"age_grp(25,35]",14.851054761811909,0.9986226941140013,14.871537417831338,1.1628550585418674e-17
"age_grp(35,50]",15.990599449808636,0.7865543361414316,20.329936172309576,2.3282714300564956e-22
prior_userTRUE,-15.950658394294706,0.8568711450478851,-18.615002368183752,5.290309463104524e-21
"age_grp(18,20]:prior_userTRUE",-1.6690451782134113,1.4546859544945145,-1.1473577324759308,0.2514823816597984
"age_grp(20,25]:prior_userTRUE",1.1403093329372676,1.491450523001313,0.7645639700085871,0.4491328705956008
"age_grp(25,35]:prior_userTRUE",18.8215640985244,1.5021925575103579,12.529395119436693,2.996359587697093e-15
"age_grp(35,50]:prior_userTRUE",-0.9971391173152744,1.0150855841615698,-0.9823202426215927,0.32615732481171844
