"month","probs"
0,0.378296881503532
1,0.416978584014647
2,0.761932439149082
3,0.764939735041822
4,0.873351839803347
5,0.91640537716788
6,0.767063948963871
7,0.914288494597637
8,0.913921564111866
9,0.857999799542155
10,0.934515980879698
11,0.852378071561789
12,0.92060789379369
13,0.862731543280023
14,0.626811444051332
15,0.779244870744127
16,0.948082460326819
17,0.913223141773258
18,0.93383350502365
19,0.930587197531581
20,0.805985922418591
21,0.945465141376396
22,0.733770428196943
23,0.729507618922476
